CommentID,Comment,LikeCount
UgxO3AO9yZi9T6q1iqV4AaABAg,"Love FRONTLINE? Watch hundreds more documentaries on our channel: <a href=""https://www.youtube.com/channel/UC3ScyryU9Oy9Wse3a8OAmYQ"">https://www.youtube.com/channel/UC3ScyryU9Oy9Wse3a8OAmYQ?sub_confirmation=1</a>",5
UgxYkelfYvMsUNJApbl4AaABAg,Let’s get rid of the terrible industry of truck driving.  Horrible quality of life for all involved,0
Ugz8BErF9EM8hIXoCI54AaABAg,imagine this video came out 4+ years ago ! ROFL so dont say you were not aware or warned.,0
UgxYxDrGHkXB9SEZ-wF4AaABAg,"Artificial intelligence will contribute to the absolute downfall of humanity. Just look at all the zombie freaks in trances, gawking at those awful, ignoble &quot;cell phones&quot;. Look how social media alone has hijacked and ruined the English language : &quot;of&quot; instead of have, &quot;merch&quot; instead of merchandise. Not to mention all of the &#39;acronyms&#39; (OMG- even though this was used in a letter to Churchill, GMAB, LOL). For Pete&#39;s sake, no one even says artificial intelligence, it&#39;s all &quot;A.i.&quot; (without the lower case &#39;i&#39;, and periods, even). And don&#39;t even get me started on using &quot;google&quot; as a verb, or even as a noun for that matter.",0
UgxAwbTFOY4slBRQsMJ4AaABAg,china did the right thing with AI tracking ...look at US is fking mess,0
UgxVaEoDhVm6WVH0tCV4AaABAg,I&#39;m😮😢🎉❤😢😂❤🎉😊,1
Ugzbe8Af19HWa4HvwSV4AaABAg,"Capitalist Economy  is fine with the US as long as America remains the global standard for commerce, Manifest Destiny of Western Colonist.  A.I. may become the liberator of “Putins Black Jesus” (Truth Algorithm).",0
UgyQFNeKZuLbIq59p4t4AaABAg,"makes me cry this video. what are you talking about? my parents had two jobs always here in the Baltics starting the 90&#39;s, business slow? - go seek another carrier or another job, on average every 5 years. saw that all my childhood. people are very good at adapting. well, unless you&#39;re a lazy a..",0
Ugw53kVBQ2LiZJIbKaR4AaABAg,Iiiiiii.  Want.  The  mony. Maid.😢😢 From. My  infermation  gov. And  corporate  emedyetly stolen   information,0
UgwwqXX-Zuouc0-p6nF4AaABAg,Ai and.ia fall  shot. Of. Spontaneity and emotion  u  take  a good look  at  ur  future  perception. Realize mike labonte,0
UgwuGj26WGVkMm5Tar94AaABAg,Erase  all human  private  personal  data period 😮😢😮😢😮😢😮😢😮😢😮😢😮😢😮😢😮😢😮,0
UgwZL8y6LXQZx3yss4d4AaABAg,What. Is are  recorce to. Invest  in  someone  tell. Me. Pleazzzzzz. Ai😢,0
