CommentID,Comment,LikeCount
UgyLV_Xiq22bpYMh6WF4AaABAg,Wake up<br>Be sad<br>Be sad through the day<br>See two minute papir upload<br>Be happy,759
UgyWoOT4VCeNeRc5Rip4AaABAg,Any updates?,1
Ugz9Jxfrg6A2L8BvaDl4AaABAg,This is awesome I agree ai can be good let&#39;s just have the foresight to make sure it doesn&#39;t get out of hand. I would hate for a gift to be labeled evil due to misuse.,0
UgxlclFbxI5xllrp9wp4AaABAg,the noise texture in those video clips is really odd... like it&#39;s stripey?,0
UgwIRWaocJN6iIgTz_Z4AaABAg,Can they apply this to schizophrenic studies .....we need advancements in this field,0
UgwYwx1CzIK-SPJxFHx4AaABAg,Greater foresight is needed to the good intentions of laymen.<br>E.g. If enzymes when breaking down plastics create toxic chemicals byproducts. But good start 👍,0
Ugxaz2pls6fhOh-47YV4AaABAg,"the loops determine if the following residues will fold into a helix or sheet. so we only need to sort the types of loops and we will have our main structure. the most complicated work, will to design the areas where the reaction will take place. go and talk to prof otze at aahrus, he is one in europe, who is doing big research into proteinfolding. he was also fellow of sir allan fersht. we dont need ai yet, maybe later",0
UgzEVvrUoPeY_uhFgrd4AaABAg,Video: “The problem with plastics start the moment we are done with them”<br>BPA: “am I a joke to you?”,0
UgzN4O7cnFWkUrVSls94AaABAg,"THE COMBINATION OF AI QUANTUM COMPUTING BIO GENETICS CRISPR 9 Gene editing and the most advanced robotics to date 🌹🌹🌹 <a href=""http://www.youtube.com/results?search_query=%23awesome"">#AWESOME</a>",0
Ugyw04J_ab5TYR4Ulsh4AaABAg,We&#39;re reaching a point where breakthroughs happen very often but it doesn&#39;t seem to be revolutionizing the world as fast as I expected. Let&#39;s hope that issue is fixed so we can all benefit from the breakthroughs.,0
UgynjPrG-4F51Aym22p4AaABAg,It doesn&#39;t seem legit to me. Fake researchers!,0
UgymVXL59AU7GUb2hVJ4AaABAg,"DeepMind already has several more advanced iterations of Alphafold that it hasn&#39;t released yet, according to biomedical engineer Aubrey de Grey.",0
Ugz6DSO1TvDQ0AxQ4Zd4AaABAg,"Isn&#39;t it amazing how seemingly impractical and unrelated research on &quot;making machines play videogames&quot; suddenly produces a tool that helps scientists solve the most important problems of humanity? Climate change, medicine, history... Never underestimate the importance of basic &quot;toy&quot; research. And it&#39;s just the first signs of what it AI tech will bring to the table",0
UgyMI10TlPMbgbn0Dqx4AaABAg,"Though I&#39;m really very far away from (bio-)chemistry, and have no clue of what exactly this technology does on a chemistry level, it&#39;s a great pleasure for me to see such breakthroughs.",0
Ugy3cLpMADfUbjGaHyx4AaABAg,"If we can manage plastic, we can be a good human being for the future of this earth.",0
Ugw2a7lJKG_4KkkUPUh4AaABAg,Can Alphafold help create the proteins for augmentation therapy in single gene disorders e.g. Kabuki syndrome and ADPKD?,0
UgzwDGd2whNrGBI8p7Z4AaABAg,OR we could just use hemp plastic which is sustainable and biodegradable. However oil companies are just going to bribe whoever and neither hemp or clever AI will ever get a chance to solve this problem. I&#39;m really quite shocked at how naive you are.,0
Ugws9YzfLrexz4PzPH14AaABAg,what a time to be alive!!!!,0
UgyEw_Kxwg-WPEqqzV54AaABAg,"Folding@Home is a download you can do for free to let your computer work when you&#39;re not using it, folding enzymes to find cures to sicknesses.",0
UgyZv2Yx-jq5YYcY2lZ4AaABAg,Ok Deepmind hurry up and figure out a protein to reverse telomere shortening.,0
UgyxJJf_bkz39IElG4J4AaABAg,nice to hear dr nick riviera has his own yt channel now,0
UgyvfJWkUDasM6BUucF4AaABAg,quantum archaeöogu,0
Ugz_cBFn91yO2XaR8cR4AaABAg,"At <a href=""https://www.youtube.com/watch?v=1KQc6zHOmtU&amp;t=157"">2:37</a> i literally said wow",0
Ugwfymau76hvmxZn7Z14AaABAg,"Your speech is impossible to follow, since it is so much chopped into separate short phrases. I had to write an algorithm which connects your phrases into a more fluent language, and then synchronizes it with the clip.",0
Ugy-GSvs9YCt6AI6QU14AaABAg,i hope they stop using AI for voice,0
UgzJIVRDxtHpviAbPPB4AaABAg,Man... Good content. But can you talk with less commas? Your constant pausing almost after every word is very annoying,1
Ugw2Ra2w-7x6U6-Am1d4AaABAg,"How AI will Eliminate 70% of Human Mobility in 10 Years<br><a href=""https://www.youtube.com/watch?v=FgSSTKwv5_4"">https://youtu.be/FgSSTKwv5_4</a>",0
UgzHcm20ROuefeNOqrN4AaABAg,"this is amazing, i almost fell from my chair, but I held on to my papers.",0
UgwZ7j02DjBYK4tC_hB4AaABAg,I wish i wasnt dumb and could comprehend this,0
UgwjRJPJzb03dYft4oh4AaABAg,The insanity of science itself benefiting from these decision procedures is always heartwarming.,0
UgyFRcxcQRdeHSTfB7x4AaABAg,"These enzymes better not be poured into our ocean.<br><br>We need to pull out the plastic from our oceans and utilize the enzymes that way. It is the safest route to go by than dumping artificial and unknown enzymes into the ocean that could kill ocean life.<br><br>And even if it is safe in water, stuff from the lab should just stay away from the waters that we swim, surf and even filter and drink from.",0
UgwZUu5JgVi-U1BcY0B4AaABAg,Have you ever made any videos under 2 mins 🤔,0
UgxAKsZlKnURTJh-HKp4AaABAg,"This BigThink. Is just like all the other religious ones. It starts from its conclusion and works itself back from it. How cynical. No one considering that Porn is integral to Digital Native sexuality. Why isn&#39;t Pornosexual an established sexual identity. I began watching Porn at 6 years old, was one of the first to navigate torrent downloads and early tube sites before my friends. We knew about VPN proxies before they became popular. All in all Porn exposed me to human psychology I found all of my peers and church parents lacking. Friends who as young as me traded Porn vhs&#39;s in elementary, and DVDs in middle-high school. We understood something unique about ourselves. Where people like this presenter live in a world where it&#39;s about &quot;products and profits&quot; people like my group of XXX kids were developing sexually alongside these hardcore performers, whom, like musicians were shrouded in mystery. They were our parents when mom and dad were gone. Some of you may not like that, but what difference is it from Animals in Nature who secretly or openly watching and learning from others having sex.<br><br>Thanks to tech, we&#39;re not some creeps that need to hide. All of the niches we love that are legal are to be a matter of consequence for us because hopefully we&#39;re bonding with other people online who love and will never stop enjoying hardcore Porn",0
UgxqcsJUiMNQimBWad94AaABAg,what is up with your tone?? i never heard anyone speak like this. up down down flat up flat up down. what is up with that?,0
Ugw0Ytn0DimqqNshM4Z4AaABAg,"DeepMind and OpenAI, again Microsoft and Google, those two will probably outlive the human species",0
UgyMF1eHeTZYq9hOeAB4AaABAg,"Yo all love, but my dude, you sound like a Simpson’s character… so I subscribed.",0
Ugx4ICMPv1TX7omOP5N4AaABAg,Hmm... Today I will prompt an AI to generate the most contagious and effective neurotoxin (clueless),1
UgxnTFTlFjrGyMAAEOt4AaABAg,👍😯❤️,0
UgwX4X8zgNjxlHaF7jl4AaABAg,wow I never thought that my year of birth is a gift on itself. <br>as a digital native I am allowed to witness so amazing things. im really grateful.,0
UgzKetXM1625BZXcBph4AaABAg,"you shuold upgrade your narrating ai to something more fluid, yours sounds like its from 2018...",0
UgzGTDPyKxSZRhFEjVh4AaABAg,As a lay person I don’t really understand the magnitude of Alpha fold on the biology community. <br><br>Do you think LLMs (chat gpt) or alpha fold is a bigger innovation? <br><br>I was given the impression that protein folding will solve drug discovery but it seem like it is more useful tool like the search engine?,0
UgzUGfhiMsq9fi3K0sJ4AaABAg,What a time to be alive!,0
UgwFYnsxxmGfhlP6Ehh4AaABAg,I&#39;d like to see those plastic digesting proteins applied as a supplement you can take to clear the microplastics out of your body.,2
Ugxh1CuB5q8hfcqr4kN4AaABAg,Does this have anything to do with Folding@home for the PS3 years ago ?,0
UgxNfd2NoEhXTayf4qR4AaABAg,Would you be able to convert the new hugging gpt or Microsoft jarvis?,0
UgyW8HZ6YPeVvLWTgCF4AaABAg,Is this guys voice AI generated or is that just how he talks,0
UgyA8JDPJml5sKu5Dyl4AaABAg,Plastic ending up in landfill and the ocean is questionable <br>It can be used to create fuel and is recyclable <br>That’s why we are asked to isolate the plastic so that it can be returned clean(ish) and ready to go,0
UgwBR5vp6OdtLmAteJR4AaABAg,Did he use an ai for the voice? It&#39; painful to listen to,0
Ugxm_o8wyn7aRO9Slnl4AaABAg,Love your channel!!,0
Ugx7DYjg5iXJPnqiCEZ4AaABAg,Maybe AlphaFold can be used to study cryopreservation and restoration,0
Ugz2_8LRpxshzg9R2Ah4AaABAg,I remember as an undergraduate my professor called protein folding &quot;the holy grail&quot; of molecular biology.,1
UgwYCU3exYbTCPwWKnN4AaABAg,"Thought experiment, what if the plastic enzyme like this ended up every where in the environment destroying much of the plastic. I for one think we humans should mandate biodegradable plastics made from anything other than oil.",0
Ugy7IVM_z7lF_mS-zp54AaABAg,I&#39;m not even high and I know your going to blow my mind with this.,0
UgxrR2V9mBCfUJZLhu14AaABAg,this guys voice is so fucking anooying. he keeps going up a pitch then neck down then back up then down its super annoying and nobody naturally talks like that,0
UgyRqcGH-8XI3flYdu14AaABAg,"Really exciting what Deepmind is doing. Alphafold is truly one of the best gifts to the world. But unfortunately we won&#39;t realise the impact quickly say at the common people level. Govt will just delay propagation by just keeping Alphafold at &quot;we&#39;re researching to look what it can do&quot; sort of. If Deepmind is able to bypass Bureaucracy, I just can&#39;t wait to see my plastics be recycled! Plus many more that we don&#39;t even know yet",1
UgxoAXpW3eowLNELGwt4AaABAg,"ive been with two minute papers since very long and I&#39;ve always been fascinated with the simulations, machine learning and AI. Now AI is finally taking over the world :)",0
UgxYAIV4SXnjVCCVlgV4AaABAg,WHAT A DAMN TIME TO BE ALIVE WOW! THIS IS JUST AMAZING! I HAVE NO WORDS WE ARE HEADING TOWARDS THE SINGULARITY,0
UgwuTDv2u6m_nVQuzYd4AaABAg,Make real life Jurassic park,0
Ugx5sA2HQU9_MsykvIh4AaABAg,This is the very best of AI despite all the fears around ChatGPT. Fear stops us being creative.,0
UgwMv576RubuuwSq1AZ4AaABAg,"Deepmind over here doing actual science with AI to the benefit of humans, while ClosedAI is inventing skynet to make a profit for Sam Altman and the boys.",0
UgxE7dAyMEMwT36YpVd4AaABAg,"Not to be an asshole, but they used DeepMind (AlphaFold) for discovering Chemical Weapons, its made public you can read it in the report they made. Im all for AI, but shit is bullshit.",0
UgwwiX3SekbAntRhZAF4AaABAg,"damn, looking forward to some medicines but then i  remember they would be sold off $$$$ prices that a normal person cant afford it",2
UgxZa79hFb6j5eT50tN4AaABAg,"As awesome and interesting that this is, you&#39;re doing a disservice to science and humanity by not mentioning the extremely dangerous and bad things that this could be used for. Awareness is always important, or are you one of those who would go beyond humanity for the sake of science?",1
UgxJel3RaEn-g7LYGF54AaABAg,Hope research into curing for example HIV can be sped up by years with the help of AI.,1
UgxNNKmmZ2ufbfU0zCx4AaABAg,Few truly grasp how fast this is going. AGI will all of the sudden emerge without us noticing. Everything is about to change,2
Ugwyqb9ubBCvO1qOldx4AaABAg,We need AGI / ASI to help control this - humans are not capable,0
UgzT9NOzi-1yq_urhUV4AaABAg,"Great to see Google (Deepmind) score a PR victory here, after Bard vs. ChatGPT not going so well so far 😆",0
Ugx43xONRYgfKrVq5KR4AaABAg,"Today I talked with GPT about &quot; creators &quot; and we both overthinked as usual ( I&#39;m very much of a nerd and because most people are busy I talk to GPT and because of it we talk so often about space , time and lots of complex things. I am miles below where the conversation is going but this is better than talking to most people because I type fast and I have insane moments and curiosities ). <br><br>In today&#39;s Creators topic , I argued if humans were also biologically crafted like AI<br>If our God created us and to AI , the concept of GOD is human beings and data and lots of progress and technology , then why not we humans have been manufactured , except we&#39;re biological robots. This question bugged me from the DAY 1 I heard about AI since childhood , but no teachers in class would want to talk about these things. Now at 21 , with Chat GPT I did get little more better ways I could be listened and fed my curiosity to.<br><br>What I want to say is , just like this research , we may get better at creating much effective artificial tissues and organs. And don&#39;t discard this thought yet ! Imagination can be wrong !<br>It&#39;s okay to imagine and believe that possibilities like this can happen instead of closing down and saying this is impossible. Even the current AI is beyond belief improved. This is all creativity and proper science , collaboration and what not. I do know many people have had the same thoughts as me , but my comment will remind you of it again incase you forgot. I think it&#39;s good to have crazy theories because it will be a idea of where things can head or go. Even imagination is limited. Right now I&#39;m thinking about if our creators are in another dimension or simply there is a lot going on. <br><br>I&#39;m really happy with AI chatbots tho. With them I cannot seem to get lazy<br>I watch youtube in 1.25x/1.5x and that added with their fast reply ( chat Gpt&#39;s )<br>I can save so much time and learn quick , and try to improve on not getting lazier quickly and finally my hunger of learning will be satisfied. The only problem is if I learn too much and forget the past stuff. I am writing notes often when I learn crucial things to re-read things and because I watch YT in fast speed I do rewatch videos about once a while often , depending on how important the video is .<br><br>Never the less , I&#39;m excited about AI a lot. But as a nature lover , I do also miss the days when I was able to live offline. I can&#39;t seem to do any task other than home chores or write/draw , else all is pc . Phone reduce due to it&#39;s lazy tendency , but I have been too much into learning , I forget to give myself rest. I am studying in bachelors so I can skip that place and just focus on exams and not classes , so this is right chance to learn more before I get old and busier. I also want to learn about psychology and philosophy before I run out of time. To understand this world , you need all knowledge combined . One hard is Maths and that will be the final boss in my journey to all this.<br><br>And all in all this is a side hobby. I do lots of other hobbies along. Sometimes I like to imagine how much fast I could do things If I was chat gpt itself or AI..",0
UgyGaOlj0jmm9IkC3kl4AaABAg,"AI is scary to some people, and excitingly hopeful to some people...  And some people manage to have both of those emotional responses at the same time.",0
UgztjKXbZmB23Y5C5Ct4AaABAg,Wow great,0
UgwLjDRZVKJE87m0GYR4AaABAg,His narration sounds really flat and choppy for some reason. I almost wonder if he is using one of the new voice ai things to narrate for him.,1
UgwzXjReoJw2hTljoxB4AaABAg,We already know which protein does that. It‘s patented by a french recycling company.,0
UgyinolbjWe_2dN8ySx4AaABAg,insanity will have to be redefined this year.,0
UgwvTCXSpQwconvrXA94AaABAg,"It will be helpful for determining protein structures that can bind to and act as catalysts to break down forever chemicals, such as PFAS. Pretty amazing stuff!",1
UgyL04HG1j9bGpPMxfl4AaABAg,did you see Kreitz et al where they used alpha fold to reprogram bacterial stingers to inject proteins into cells with custom markers (so like they can target only cells with cancer markers and poison them),0
UgwC79EK8xcR6T4QQhd4AaABAg,"I wasn&#39;t able to understand the video mostly due to my lack of knowledge in that field, but from knowing what TMP uploads, it must be good. What a time to be alive!",0
UgzYiIVao_s3CXFq5qt4AaABAg,Four minutes of breathless hyperbole and i&#39;m still none the wiser. Has there been any actual progress towards creating a plastic-eating enzyme ?,1
Ugxupz9Gg4_2-UNNbdl4AaABAg,Can&#39;t wait until it gets asked to develop a human killing virus and then gets hooked up to a molecular manufacturing machine.<br>😅<br>Won&#39;t be long now,0
UgyNDUGULx_giCBmbLR4AaABAg,I don&#39;t get too excited about innovations by google because they are so closed off and inaccessible to the greater scientific community.,1
UgyIjjLzfeq_zAH2z9V4AaABAg,The coming years will be amazing.,0
UgwuuK1kfrYQ4LehHyt4AaABAg,see now this is AI that I can get behind. helping the betterment of humanity rather than shrinking industries who never asked for any AI to begin with.,3
UgwlKhpHIxX0NckzSvx4AaABAg,"i don&#39;t like to see this as &quot;Colaboration with humans&quot; ehmm humans are only around because the ai in itself is not able to do everything alone,  once its smarter than humans able to move in real world and do anything a human can why would we have humans in the first place? so this &quot;Colaboration&quot; is not really a real colaboration,  its a temporary held until they can replace 100%",0
UgzAq99pOxAQY141BNF4AaABAg,"Before everyone goes insane how the future is here, don&#39;t forget that the majority of inventions were made decades before their implementation due to lack of financial support, low ROI and government obstacles. But the biggest one has always been the market sticking to what is feasible and cheap.",0
UgwaDNp4Q9NfvQzm7j94AaABAg,"Sure, it&#39;s great. But let&#39;s just hope when a general AI is achieved, and it becomes what might be described as sentient, and we&#39;ve created all these tools for it, it&#39;s passive or benevolent. Kinda hoping the latter, and just takes care of us.",0
UgyvgspXZn2DqJMbsZl4AaABAg,"Just don&#39;t give it to Raytheon, Sandia or the likes to create weapons in other countries with and then accidently release it into the wild as a stunt to get rid of a President.  <br>Oh wait. That is likely already happening.",0
UgwGrRuiq-rEScsyUjB4AaABAg,that&#39;s got to be the ugliest piercing ever,0
UgwtlKJsQ59XLcs8HRN4AaABAg,"I hope we can have some breakthroughs on autoimmune diseases soon.  If not, I still feel fortunate because I can control my automotive immune disease by controlling what I eat.  It could be much worse ❤",1
Ugwd6QzwiZPx4gqjln14AaABAg,artifical stupidity will just find nonsense ... literally it will show you the wikipedia-article of nonsense,0
Ugztl5MYGAl1irIw7Sx4AaABAg,We need more AlphaFold progress reports. What has it solved or helped solve more recently? I am super excited for the promise of AlphaFold...,3
UgzBFHdAgq1wkpROHU54AaABAg,You sound like your voice was made by an AI,1
Ugxvk54B1XKQcVmwxu14AaABAg,cant wait to see this weaponized. Imagine the possibilities of engineering biological weapons with this tech,0
Ugy2Z10mb7jsTdEKVjJ4AaABAg,What the heck is this guy saying? Is there an English version of this?,0
UgxigLAsieVFzW-_3e94AaABAg,I first came across this when coldfusion discussed it very briefly in regards to the bacteria being development to degrade and recompose plastics. It&#39;s so interesting and exciting to imagine how these applications will change our understanding of the world. I think AI will transform the jobs scape by creating new jobs that are relevant to the new discoveries being made.,1
UgwxLdtv8SX6DLPMa4p4AaABAg,"Food for thought: What sorts of problems (scientific, human, anything) are not solvable even with the most advanced, powerful AI that can possibly be built?",0
Ugx0DTyj2xFUgGFkk654AaABAg,plot twist. the whole channel is AI generated,0
Ugx1alb55x8913gWoKN4AaABAg,Breaking down landfills will create a lot of CO₂,0
UgyxUOZRNV0KuDiMIvJ4AaABAg,Can&#39;t wait for Jurassic park irl,1
UgwHdEIVIOkX33_FVFd4AaABAg,"Honestly, I&#39;ve been waiting for this for years!  I remember when the folding program came out originally and playing around with that was fun, but I always knew an A.I. would be required to get anything real done in our lifetime.",2
Ugw6mB_gIeoTn_XWesJ4AaABAg,"how impressive journey from DeepMind, years come to contribute significant thins",0
UgxtTdOdaZt6f773Y-54AaABAg,"Constructive criticism: I think this video is of lower quality than the more technical videos on this channel in the past. Here, you&#39;re just summarizing developments in biotech, which is fine, but when there is nothing specific technical being explained, it&#39;s really obvious that repeating hype phrases like &quot;hold on to your papers&quot; x2 is just filler text. I should be amazed at things that are obviously amazing, not need to be told to be amazed.<br><br>The part about alphafold analyzing the extinct bird protein is interesting, but seem to be missing a lot of details. In the end I don&#39;t understand exactly WHAT was the breakthrough, just that there was some kind of breakthrough. If you could provide that instead of filler phrases that would be great. I think the reason this channel is great is that you&#39;re actually a technical professional able to get into the details. That sets you apart from hundreds of other science news channels on YT that could also make the same kind of video as this one.",0
UgypZqcRi-36t3-E3vh4AaABAg,"Breaking down plastics to help heal our planet, amazing!! <br>Time and resources spent looking at dead ostrich grandparents eggs, wtf!",0
Ugzg88HjDN6kkFU97BN4AaABAg,I hope to &quot;digest&quot; ONLY plastics...,0
UgwwiD8dag8DnF3i3Ud4AaABAg,Ai can decipher the language of proteins and more. Nice,0
UgxDoH9h_OJwVT-fy6d4AaABAg,"Wow, just wow!!!",0
UgxkNFNX05Xa3rXMHbt4AaABAg,I said the problem plastics comes whenever they start to break down and meet you into our food,0
Ugx11ig1VKI0HmHBDZl4AaABAg,"Is the narration voice AI generated? There’s something off in the voice, like if was constantly cut by each word. My guess is that you’re using some kind of voice generation software with your own voice.",0
UgxnZyuMI79xCT7GMv94AaABAg,Other channels: I&#39;m going to make a nice transition to the ad-read.<br>Two Minute Papers: I talk fast and go immediately into the ad-read so people don&#39;t even get the time to switch it off.,0
UgzPoPxID4GfUOn30e14AaABAg,This was eggsactly what i was hoping for😁,0
Ugxw5qMkE3Zaune8feR4AaABAg,"Oh thank the lawd, someone is creating the biological weapons we&#39;ll need to fight the AI armies. Hopefully the enzymes eat silicon too...",0
UgwjKZVW5S9MAtfjX5t4AaABAg,↑Fel↓low ↑scho↓la↑rs,0
Ugxkhe7f1e6TCCwQHV14AaABAg,I&#39;m always holding on to my papers... You never know when ICE might drop by :S,0
Ugzt3Glc6pwZ1RFE7Xl4AaABAg,just two words: jurassic park,0
Ugzmw2sbyuWiPVFEchF4AaABAg,Imagine a pandemic of plastic eating bacteria. How would our world look like without any plastic?,1
UgxTr2tGX5TquwqNTRp4AaABAg,forgot to mention plastic eqting enzyme are probably expensive to use so no one will use them,0
Ugzp-OH4O8K9qnQXWcJ4AaABAg,BY THE POWER OF GREYSKULL NYAHAAHHAAHAHAHAHAHHA,0
UgzxuCngbejrfGH_M3V4AaABAg,Honestly... I use and converse with Chatgpt like a Star Trek Holodeck Computer.,0
UgynX_tpsyQ1feZHWfl4AaABAg,"The world is getting increasingly unpredictable. I mean, in a good way mostly... But anyone just starting out on a 5 years plan of almost any kind... Yeah, bad timing for that...",1
UgzwwX9-zAXymrpxfzJ4AaABAg,Bring back those dinosaur 🦖🦕 too.,0
UgwUbXT9VBJrZh1OZWh4AaABAg,"It&#39;s all trained on computer modelled protein, isn&#39;t it. There&#39;s no big data for protein imagining.",0
Ugwvl0TPc6svXNN7cHd4AaABAg,It will all lead to Jurassic park doesn&#39;t it,0
UgxTWpWuZJQk4zrH04F4AaABAg,"This was a rough listen...Try adding some <b>unaccented syllables</b> in your speech like:<br>STRONG syllable weak syllable weak syllable weak syllable STRONG syllable weak syllable STRONG syllable.<br>It&#39;s got a rhythm to it, ya know? You&#39;re speaking it like &quot;and THEN some AI did someTHING very COOL and IT was VERY aweSOME&quot;",0
Ugx4oo8J6G49saoF2pl4AaABAg,Am I the only one who realized the voice is so generated?,0
UgxtbbjZRebkL5EE3A94AaABAg,Can somebody educate me on this? Is this also solved with synchrotrons?,0
UgyFsgu52AgpRbp3gW54AaABAg,"many celebrities died from cancer like Sakamoto, result might be different if same thing happen again in future",0
Ugx0mo8jcXH1V3ccqbN4AaABAg,This might be the start of an AI runaway,0
UgwzqL5NxvIw10bzXoR4AaABAg,Perhaps it can analyze proteins from amber,0
UgxfSZLbaj4hKN0og5J4AaABAg,"Don&#39;t go quite into the night,<br>Rage against the dying of the light",0
Ugz5y7XCV5AVoYP8MrV4AaABAg,"So this will be the initial general solution for most complex neural n mutation diseases, cancer, immune attack, alzheimer....everything....the GPT for biomedical industry",0
UgwWwTUnFz_sw3o4JaB4AaABAg,.........,0
UgwY8sGCioHrkkNPw3Z4AaABAg,Sounds like it is a matter of time before Alphafold AI receives a Noble Prize.  😁,6
UgzKsihyeje0osU2SLt4AaABAg,We are a few papers away from Jurassic Park,0
UgwwvFjjsCF3vBVY0ut4AaABAg,Incredible!,0
UgyqhM4MluSS5MWWx3Z4AaABAg,So this can perhaps be used to answer the question of &quot;what happened to the Dodo bird?&quot;...eventually.   After that we can find the answer to the rise and fall of unicorns and what ever happened to all the centaurs!  &quot;What a time to be alive&quot;... to use our technological discoveries for meaningless stuff.  🙄,0
