CommentID,Comment,LikeCount
UgwMjPdVRzKSgz8nm714AaABAg,I am really looking forward to this technology working to remove our need to use animal models in drug research and to make the drug discovery process more efficient. The cost savings and accuracy would be exponential!,1
UgzXhhmqgXCaaVASk414AaABAg,AlphafoldDB is simply wonderful.,2
UgzJnhWhXjsQIE4CEmt4AaABAg,Amazing and thank you Deepmind for making this available,4
Ugw1NKuFlc32ns5yNtd4AaABAg,Why are the people always looking into the wall of the video :_D It is a film technique used in Mr. Robot for psychopats,1
Ugy3U9kFoM-L0IWxBMh4AaABAg,Was expecting this. but not for decade or so. Impressive,4
Ugx-fG2PDtc6x3k_2RR4AaABAg,Just yesterday I started using embl-ebi datasets of CpG islands for my research...,6
UgzwnmIZaBiFHq2JG154AaABAg,U know what  cant believe in  ???????? How is this not biggest NEWS in news channels already??????   WTF is wrong with our world,7
Ugxk7qnt1ihTylQhsrZ4AaABAg,It&#39;s Just Fantastic 🤓❤‍🔥🤗,1
UgyVuzhekXC2QBKMd5d4AaABAg,This is the James Webb Telescope 🔭 of biology.,11
UgykDDALs2wy7yHuJ194AaABAg,لمن يبحث عن معنى للحياة .. ان تعيش مثل هذه اللحظات هو معنى الحياة الحقيقي,4
Ugy0A4ex-ed0ixd9Gf14AaABAg,"Thank you Google, DeepMind, and EMBL-EBI! This is huge",24
UgwIkBjMuzkVc6Z4Dxp4AaABAg,Oh my God! Thanks Deepmind! Thanks Google! A brighter future for scientists... for a better world!!,13
UgzrIMlPJxdYeUfjpjl4AaABAg,Well this is pretty revolutionary.,5
UgwUIGbSA-KGLTlLIEN4AaABAg,United Nations should establish control over this and stop this research.,0
UgyFHM6NZXUvem3Qz8N4AaABAg,Why dosn&#39;t the DNA fold?,4
UgzCwcpX7vS8XUdaVLV4AaABAg,Noice,2
