CommentID,Comment,LikeCount
Ugx2Liib5S_AAl2dxFV4AaABAg,Amazing video,0
UgyFwZbHtjinFM7WuGV4AaABAg,Does anyone know of any certified training programs on AlphaFold?,0
Ugx6S0tRQAOV3JmaaB14AaABAg,I love the on the fly real human to human explanation and the fun that ensues.  @2033s &quot;My drawing skills are to be criticized in another video &quot; 🙂 .  Technically accurate and compact and relevant. Enjoyed it immensely in many ways. Thanks!,0
UgzoNCdm4IR1rZa0Od94AaABAg,"Awesome explanation, please do a video about AlphaLink 🙏🙏",0
UgxgYsuTaFgsBp-fLyR4AaABAg,"How long before comps can cure every illness and make us live forever? (As slaves of course, I know we&#39;re nearly there)",0
Ugwzex4gawMLm6xycVd4AaABAg,Which search engine did produce those article collection in the beginning?,0
Ugz81MY1KfpNzj7qhDZ4AaABAg,"The title of the video lures you into conclusion that it&#39;s about AlphaFold 2. It rather should be &quot;My guesses about AlphaFold2 and AlphaFold1 explained&quot;. People are coming to get an understanding of &quot;AlphaFold 2&quot;, but what they get are guesses and speculations about it. Not nice.",0
Ugyof054QeeUyee4xpl4AaABAg,"Good overview, well presented, thank you!",0
Ugys5vgD2GZSuEF9e_94AaABAg,I wonder if there is another new discovery theologic layer never imagined that surprises teams.,0
UgwUSn2UuVepbrDRExp4AaABAg,"So are there some scientists out there that really wanted to make a protein of a particular shape that this worked helped? I think this is super cool, just don&#39;t know how it&#39;s used.",0
UgzP6MCxEuIiZkPgyhl4AaABAg,Great video,0
UgywPdAiu1JvXZzTlDR4AaABAg,"I wonder why they did not try lstms, given the nature of the data ( sequence of elements that can be correlated even though they are far apart ).<br>Either way, thanks for the explanation, it was very clear :)",0
UgyaCbmULjvwDGcmXg14AaABAg,SUperb video. What application do you use to create these videos? Id like to learn to draw and scroll through images while recording my voice over just like your format.,0
UgwFnq8ymKFuGFvd1G54AaABAg,2d core in deep neural web..... XD don&#39;t tell this to flatworld people!!! Are scalars convoluted? Ask Moogle go.,0
Ugy5qgK6LHOEsQglrXl4AaABAg,"Great vid, highly informative, very interesting and you are unquestionably the &#39;Richard Burton, Morgan Freeman and Jeremy Irons&#39; hybrid voice of science vids! 😃",0
UgzjxQ7VcMgcnk1Cio54AaABAg,Thank you for this informative video. Can you do a similar one for alpha fold 2 as they have now published the paper?,3
Ugz3x96VgoY1TfUIEm54AaABAg,Hi! Thank you for such a great explanation. This has been so helpful. Would love an update with the published Alphafold2 paper!,3
Ugyp4U-2SimiQTe7QJl4AaABAg,"This is super cool, glad that I found you!",0
Ugy40rBDtUaJJo26tzV4AaABAg,Biology is wild,0
UgzrqSJs6RWi4HhMS4Z4AaABAg,How did they calculate uncertainty?,0
UgzxNHJwxNpKuv7GYvd4AaABAg,"<a href=""https://www.youtube.com/watch?v=B9PL__gVxLI&amp;t=23"">0:23</a>",0
UgwxDioFEKSF7Jil7nt4AaABAg,Please do an update about the Alphafold database,3
UgyNVwLnhpOJgtizq4t4AaABAg,When is the new video coming out for the recent Nature paper?,4
UgxOIMPpLYW4yYFUjs94AaABAg,"Very good explanation, are you going to explain Alpha Fold 2 paper and RoseTTAFold？",2
Ugyq8O7M4ugNkE-qKAp4AaABAg,As for AlphaFold2: I guess the pairwise distances are just for training part of the model. It may not be used in predicting the structure. Directly predicting the structure may be better than using the pairwise dist as the middleman.,0
UgzjX5D6G6SvNELT6894AaABAg,"Today I was informed that AlphaFold 2 presentation for CASP14 is online, and it contains more information than DeepMind&#39;s blogpost (a bit more info about the model on slide #10): <br><a href=""https://predictioncenter.org/casp14/doc/presentations/2020_12_01_TS_predictor_AlphaFold2.pdf"">https://predictioncenter.org/casp14/doc/presentations/2020_12_01_TS_predictor_AlphaFold2.pdf</a> <br><br>Presentations of all participants:<br><a href=""https://predictioncenter.org/casp14/doc/presentations/"">https://predictioncenter.org/casp14/doc/presentations/</a><br><br>For AlphaFold 1 and all other participants (CASP13 - 2018)<br><a href=""https://predictioncenter.org/casp13/doc/presentations/"">https://predictioncenter.org/casp13/doc/presentations/</a>",1
Ugz7k_Wjjc8gm9MWq9d4AaABAg,This is revolutionary!,0
UgyDmIDvOsLIpgM8qnB4AaABAg,I have a computer science and AI background and you seem to know what you are talking about in terms of biology but your presentation sucks and stinks of laziness.<br>I was looking forward to learn something about AlphaFold2 and really tried to follow you but you seemed to be repeatedly lost yourself. You kept jumping around from distances to cotorsion angles and back again.<br>You also complained about the way article was laid out. So in the end I gave up.<br><br><br>Why don&#39;t you go through the paper and then re-arrange it the way you understand it.<br>Then write your own interpretation and keep improving it until you are fluent and know the road map for its presentation. <br><br>Or send me a link to some-one who has done it in a fluent and comprehensible presentation.,0
UgzsPexWx_RxeX4cqCR4AaABAg,Yannic killing it again!,0
Ugy6McIAKoNdRjINJCR4AaABAg,Interesting...so they don’t use GNNs?,0
Ugy5tVYwu543kK2mUg14AaABAg,"Take home message: <a href=""https://www.youtube.com/watch?v=B9PL__gVxLI&amp;t=2230"">37:10</a>",0
UgxyCYpT5cLIBoUQF-N4AaABAg,"thanks for the great video!  :) and... since I am coming from the field of bioinformatics, I really enjoyed your confusion about the format of Nature papers - I remember I had the same strange feelings about it when I started to write papers for similar journals.",0
