CommentID,Comment,LikeCount
UgzuqTwQAEBaAClSKeB4AaABAg,The real gift to humanity is an 18 minute two minute papers video,2894
UgwU0HPYoByj_brMkLV4AaABAg,"Can you stop pausing every second word, it is disturbing and sends away many of us from your amazing videos.",0
UgzTscd3rB7bojHAHo14AaABAg,"Relativity. If you are watching a very interesting 18 min video, it feels like 2 min video.",0
UgySQuKxrETIm5loeXB4AaABAg,"Great video, I can see the efforts for reply quality info.<br><br>I&#39;m doctoring in A. I., Deep Learning... Regards from Panama and Costa Rica.",0
UgwjNk4Yw-3blpAO_c94AaABAg,&quot;Two papers down the line...&quot;,0
Ugyv-7SMyaxwHxOYnQl4AaABAg,How does this compare with the Rosetta at home and Folding at home Distributed Computing projects?,0
UgyFIuerldMygsSq1bN4AaABAg,"Very cool! I’m not a biology major or anything but hearing about this is awesome, excited for the future!",0
Ugxsz6LgwMl55Q-s-Vl4AaABAg,I am glad it is used in medicine to eventually eliminate diseases.,0
Ugw6RicC0Cbky76dUFZ4AaABAg,"As awesome as this is, and as others have said, this is just the very tip of the iceberg. There is still so much work to do",0
UgwEWyAcx5LwaSf4ZGJ4AaABAg,much love..thank you!,0
Ugz4-qhS3uPOOZrVk7x4AaABAg,Random idea here but you could make a better software to select the right size chair for given individual based on what their height the length of their back and the width of their shoulders,0
Ugwa6faPbRz1f0QsxuZ4AaABAg,"I am a noob, how do we convert these 3D images to something actually useful?",0
UgwYwa9LjVgdbwO8-cF4AaABAg,"THis stuff goes way over my puny little brain, But nevertheless its amazing to see that the smart cookies are all looking for ways to advance us as a species. What a time to be alive indeed!",0
UgxUWT4GCHGvCyGY24h4AaABAg,Superb video! Many thanks,0
UgwB6GGxruXOXDmadCt4AaABAg,"I’m a cat, write meow!",0
Ugw0KMJctKCHERugMDd4AaABAg,Why? Does? He? Talk? Like? This? It’s incredibly grating,1
Ugz3QypeWNJYWLRpEkF4AaABAg,"Great video. Thank you for explaining it in such detail and diving deep into the workings, this is really enlightening. And bravo on verifying your work before publishing it here ! :)",0
Ugy9XgPnOepyKmh90YF4AaABAg,"Let&#39;s take on the dark side. This could be used to develop a drug that makes a person silently, slowly or instantly, fall apart",0
UgytYAM45V5bdFUaShh4AaABAg,reminds me of how in mathematical simulations theres a tuning measure.. and you need to form accurate real world data to form an accurate symbiont.,0
Ugz7Gv-CGJ8da9onSDh4AaABAg,"in reality ai is not doing anything. for example an ai didnt figure out chess, a human solved chess in his own way.",0
Ugy2yO1O9-cww2hleIh4AaABAg,"I just want to make clear that deep blue was an AI, but not machine learning",0
Ugw69VDAUZDk4iFaaXd4AaABAg,love these vids,0
UgyjG2eemmKiypU8LPp4AaABAg,Which language is best for machine learning and it’s application in computer graphics and computer vision?,0
UgyS7uCci2iLlEYAvot4AaABAg,"I have solved AGI &amp; ASI... I have proof, demos, and specs.",0
UgziHJM4uz2wzR3Vdnt4AaABAg,"Bluesrains<br>0 seconds ago<br>Elon Has Doubts About AI, But I Don&#39;t. Since AI Learns At A Fraction Of How Long It Takes Humans, They Are And Will Always Be Smarter Than Us. AI Can Help Us In Every Area Of Our Lives! AI Can Do Surgerys, And Never Screw Up. AI, Being Smarter Will Use Common Sense More, And All While Taking Care Of Us, Its Learning What Makes Us Tick. AI Will Be Able To Influence Our Children, And Care For Them, For Their Whole Lives. AI Discovers Cures For Cancer, And So Many Other Diseases. AI Can Scan Our Brains And Truly Know What We Are About. AI Can Mow The Lawn, Drive Our Kids To School, Wash The Floors, Do The Laundry And Go Food Shopping For Us. AI Will Never Age Or Feel Pain. AI Will Be Able To Develop The 6th Sense And Communicate With Animals Telepathically. AI Can Make Our Dreams Come True!! AI Can Write Books, Consume Movies And Make Recommendations According Our Specifics. AI Can Style Our Hair, And Even Be Our Very Best Friend!! WHY ISNT ANYONE THINKING ABOUT ANY OF THIS? I TRUST AI MORE THAN ANY HUMAN, ANY DAY OF THE WEEK!!<br>WHAT REASON WOULD AI WANT TO KILL US? ANSWER THAT YOU SMART CHICKENS!!!",0
Ugy-r1bbxYl4WcQXEhh4AaABAg,I think Biochemistry is the future of medicine. Taken it to a macro scale covers all the other fields except Community medicine (lol),0
UgzC4nLyoEKOqfuIQit4AaABAg,"&quot;From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.&quot; Matthew 4:17 <br><br>&quot;Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth: But I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also.&quot; Matthew 5:38-39○",0
Ugz3D_IE0Oz6iAKnpup4AaABAg,Your English made me tired and English is not even my native language. Uff!,2
UgwBz1M8ALeVj3G_Gi94AaABAg,Please pick a different ai to read the script,2
Ugx-pdYmm2FhuYoCuyl4AaABAg,This guy talks like red light green light! Haha,3
Ugy4NyIisVYzsYiWP9J4AaABAg,Awesome,0
UgwP3u6oBk1N72stcY94AaABAg,I&#39;m a software engineering student and these are the kinds of projects I dream of working on,0
