CommentID,Comment,LikeCount
Ugxp-YOJZDulc96rfEB4AaABAg,Every time i try to install the code it tells me invalid syntax on venv,0
UgzYD6Fql84lmAfE0UN4AaABAg,Stop moving your hands so much.,0
UgyBHI5mCD0_3QUbFbp4AaABAg,.,0
UgxS0jB4dMrHof2JcJt4AaABAg,Watching this as a 50 year old GenXer...confirms that I totally dont give a fuck that young people didn&#39;t learn cursive.   Ya&#39;ll know code. And code jargon. Communication tools orders of magnitude more powerful.,0
UgxSwRHxzEHrwQ9hsTB4AaABAg,The only bioinformatics video I&#39;ve seen that&#39;s entertaining.🤩😂 I&#39;m sold.😅,0
UgwhQoBWVFkB0iSAGQ94AaABAg,Thank you!,0
UgzQTAOH1v1rN-P7BPB4AaABAg,"<a href=""https://www.youtube.com/watch?v=GQH-zWUylPY&amp;t=389"">6:29</a> when you install pirated software and your antivirus starts complaining.",0
Ugwc7zWuoa11Wqv3FA14AaABAg,"Hey man, umm can like we become friends and stuff. You&#39;re a funny dude, plus Ummm teach me oh great and wise",0
UgwAUsEovrDKbBPwI8t4AaABAg,I&#39;m glad that you didn&#39;t stop cause of the misdeed you got caught on<br>keep being honest or at least professional. you&#39;re actually good,0
Ugy7IiO_xT8_K5jUT-Z4AaABAg,Someone could load a RR file in CMView? I have a format error message :/,0
UgwVUERcW8BES2b__wR4AaABAg,"El tutorial empieza en el minuto <a href=""https://www.youtube.com/watch?v=GQH-zWUylPY&amp;t=392"">6:32</a>",1
UgykviNK5D1MlRr_ext4AaABAg,This video is great! I don&#39;t understand the dislikes,0
UgyJEbasL-QoUh9oAEt4AaABAg,can you do the same for alphafold 2 or they follow the same steps?,1
UgxSU-fv2KMnmOGZ4z94AaABAg,"u dont know anything, I feel like you need to learn more then come on youtube to show ur disgusting hairshade, ur just making fun of yourself..",0
Ugy2QP3PZ6DyRpwYMQV4AaABAg,"Siraj, we cannot use our own sequence to predict the structures using AlphaFold, as per the GitHub website data and the alphafold website. So, how you did it?",3
UgzLLGYJ4FqulhR0q714AaABAg,"Wow, I wonder how the protein folding structre is for  covid-19 could you upload a video on that!",1
Ugyk13qa9HCtaKcLaRp4AaABAg,This is a huge breakthrough in biology. <br>But saying that it will replace biochemists is like saying that a stat. analysis software will replace mathematicians. AI will play a huge role in future scientific research but that doesn’t mean that it will make biochemists useless.,0
UgxCnDCqjk_71RFbVlZ4AaABAg,"Rosetta has been on it for quite long, now trRosetta works like charm with AI",0
UgwdvAtRjBIAqlqs_XF4AaABAg,Where is the tutorial? Waste of time!!!!!!!!!!!!!!,2
UgwQeKz4Q8hovKRF7K54AaABAg,"I see proteins are built using advanced microscopic additive manufacturing processes and now alphafold has given us the power to do what nature took a long time to develop. We will probably start by replacing damaged tissue, vaccine manipulation and perhaps even artificial blood.",0
UgxE6BjJmByILgoeu_54AaABAg,Nice video! <br>Can you please tell how to install alphafold into pc or how can we use alphafold_casp13 codes. <br>Pls tell me,1
Ugze-BhI7aIst82p6GF4AaABAg,we need an updated video,1
UgyutBYljJCebu5EYAp4AaABAg,update it!,1
UgzqmuD-1ojcS4b67Uh4AaABAg,"Sorry, but the original Alphafold implementation is a dead-end. Some others were made:<br>1- ProSPr (<a href=""http://github.com/dellacortelab/prospr)"">github.com/dellacortelab/prospr)</a><br>2- Alphafold_pytorch (<a href=""http://github.com/Urinx/alphafold_pytorch)"">github.com/Urinx/alphafold_pytorch)</a><br>A paper on the first is in bioRxiv since November. I would rather focus on this one.",0
Ugxi-ATDeBDAg3kbCTJ4AaABAg,I think you might be the only guy I&#39;ve seen over 13 that can actually look good with blue hair.,6
Ugy_hsd-9la7P3kETah4AaABAg,SCAMMER !,2
UgxCaRiwhc23C3TqeiN4AaABAg,"Hello world<br><br>Anyone knows where i can retrive this video of this part <a href=""https://www.youtube.com/watch?v=GQH-zWUylPY&amp;t=220"">3:40</a> (protein folding and sequence space)?<br><br>It will be useful for my seminar :) !",0
UgyyS6t4XXPWenbKadp4AaABAg,"Knock knock<br><br>Whose there?<br><br><br>I am the Protein folding problem, cause it&#39;s still not solved.<br>Mind the difference between structure prediction and structure determination.",0
Ugy3vdORakMwIB9jZkh4AaABAg,What gives you the confidence to still go on with your bullshit? Never seen a more shameless human being,0
UgyQdGGMwGqOXjhlp_14AaABAg,"Dude, THANK YOU. This is a great explanation! But also, the AlphaFold code available says it can&#39;t be used to predict structures outside of the CASP13 dataset. Does this mean you actually can&#39;t input your own sequence of interest, or just that accuracy cannot be ensured with other sequences?",18
UgwiP7l09jQZPRz60wt4AaABAg,Code chor,1
Ugy3KD98Y6pyDX2b_P14AaABAg,You are chor..,1
UgyvHQqIvf6blEW3INJ4AaABAg,what if you accepted you don&#39;t know machine learning and AI you talk so much about.<br>Go on to take a break and then coming back after a year or so with strong knowledge of concepts.<br>just a recommend though i know u r a YouTuber and not a AI teacher in any way.,7
Ugzijp2d8Y9_lIbex_54AaABAg,It sounds like Alphafold doesn&#39;t take into account post-translational modifications and chaperones.,0
UgwNnbweCa6qs_vLW194AaABAg,"Siraj, where should I input my custom amino acid sequence for predictions?",0
UgxS_WDSeSMHKK9-aaV4AaABAg,why dislikes?,1
UgxX-0ojKqqZM0Enrbt4AaABAg,Despite all the sadness and disappointment regarding his misdeeds I can&#39;t resist saying the guy is talented in conveying interesting content in such a captivating way that he keeps me watching,28
UgwFo6q7ZA56ZjUnR0p4AaABAg,"I run AlphaFold, but an error occurred.<br>It is AttributeError: module &#39;tensorflow&#39; has no attribute &#39;compact&#39;.<br>Does anyone have the same error?",2
UgwzuQjkIXNudbFRRLZ4AaABAg,Siraj now have they solved the protein folding problem or they are just bluffing,0
Ugw43NK_Et08W71pki54AaABAg,Can you use this code to predict new protein structures? Where do you put the file with the sequence you want to predicted? Can you visualize using PyMOL?,3
UgxtST008yxib7l4MhV4AaABAg,(alphafold_venv) (base) jisna@ccc-CELSIUS-W570power:~$ pip install -r alphafold_casp13/requirements.txt<br>Could not open requirements file: [Errno 2] No such file or directory: &#39;alphafold_casp13/requirements.txt&#39;<br><br><br><br>I am getting this error..,2
Ugw66KOL2CijCNJBgMZ4AaABAg,kidding :),1
UgwfyqxmF44iWrNVhYx4AaABAg,"Wow, thanks Siraj, this is truly amazing. When will you apply these techniques to crack the human genome code?",2
UgwIkMkDyU-n45SJm4N4AaABAg,"Myths and realities of Data Science,AI,ML and DL : <a href=""https://www.youtube.com/watch?v=AhIYKIvOT_o"">https://youtu.be/AhIYKIvOT_o</a>",1
Ugzp99FhbQDczLqByxF4AaABAg,"<a href=""https://www.youtube.com/watch?v=ADnD7Tlw2OY"">https://youtu.be/ADnD7Tlw2OY</a>",1
UgwxpUdj9RR5ZJ7Pqfl4AaABAg,Does not look like this contains the tutorial.,27
Ugw5a79m-_cnm3wSPmB4AaABAg,That&#39;s so epic 😍,0
Ugy_VoGZ_p1zoEuZ-lZ4AaABAg,very nice Video,0
UgzBJDpS31jDbxqY74d4AaABAg,Captian Siraj ;) Like you understood,1
Ugwb--9pNOzBU1kSPr94AaABAg,That&#39;s incredible Siraj!<br>Thanks ♥,0
UgzwZ1XdVkcB3l5owN54AaABAg,Superb as Always!!!,0
UgykapHZj_2FQtRGHvp4AaABAg,Can we know about the protein and its working we get from this code? What is the real purpose implementation of this?,0
UgwESi48Y4cVuV3E1IR4AaABAg,Learn healthcare machine learning guide pls,4
Ugwzw9XzBxURxbIz68x4AaABAg,Can this thing be done in windows 10?,1
UgzpmvD0xShmpyajjGZ4AaABAg,"Hii Siraj, recently i am checking your video to understand about <a href=""http://www.youtube.com/results?search_query=%23auto"">#auto</a> image captioning and i am not able to found any video on this topic so if you are able to make video in this topic that will be great. BY the way loves video",0
UgwYhhcUuUuQRybX0zR4AaABAg,"Seriously anyone knows why he always has 691,000 subscribers? I guess he made a deal with YouTube or something?",4
UgxSGJNJJAOllV_stc14AaABAg,"source alphafold_venv/bin/activate i get error as source is not recognised command, some basic mistake can some one help",0
UgySHURuoAanY3mihkx4AaABAg,Finally after a while something worthy...<br>Don&#39;t care wht PPL say anymore continue this amazing channel.... This video is interesting,2
UgyPUXGxCVfl5p4thvF4AaABAg,"Hey Siraj, can you make a video on the Bayesian neural network? it&#39;s a very underrated topic in the field of machine learning but I feel like the intersection of the graphical model, neural network and Bayesian statistics will the next breakthrough",2
UgycFI_70O5Ntj56znJ4AaABAg,illuminati ?,0
UgyXyXIYwM20LynW8CZ4AaABAg,siraj brother sorry to ask this as your old student <br>can you suggest a rigid roadmap to learn Tensorflow Lite <br>and deploy them in application,0
UgxGApQ6mKNZOlzO_sd4AaABAg,Love the content in last 2-3 videos,1
Ugw1ZAJ9Bo4IPWeho2Z4AaABAg,"Amazing video, nicely done bro. Great content.",1
UgzGv-NbQl7DQLzJrzx4AaABAg,"Why do you always have 691000 subscribers Siraj? Tell the truth, what&#39;s going on? I still believe in  you but this is fishy.",5
Ugyr6e1j3FdBSMVoxQ54AaABAg,Brilliant video!,2
Ugxzpx4UvuScZdyV6E14AaABAg,"So glad you’re back man, the internet sucks without you",2
UgwX8EnWT5cyNKklpWF4AaABAg,As always amazing Work by DeepMind. Thanks for sharing this :),1
UgwdckWrfRnPBRm1sch4AaABAg,"<a href=""https://www.youtube.com/watch?v=GQH-zWUylPY&amp;t=265"">4:25</a> protein sequence not genomic sequence",8
UgwTkc2vXQHhEzTfLzN4AaABAg,How come there&#39;s always positive feedback when you just release a video and days later the other way around? Hmmm...,14
Ugx6nwbiCrD1Kcq_FYF4AaABAg,"This is great Siraj, I have always loved your videos so keep up the hard work",2
UgyqY8qncyj42cOzLGd4AaABAg,Wow!.. This is very interesting...Thank you! :),2
UgwWkR5_MU_8BKHVqq94AaABAg,So glad you are making a comeback.,2
UgyliD9YlU7PLyLxax54AaABAg,well now that you moved i learned something as well never pretend to be someone who your not.. be true to ones self no matter what,4
UgwLQ4_Um_laUtyiGKp4AaABAg,Is there anything we can&#39;t do with Python? L.oL. No - There is not.,2
UgxEZhz6o_S9o6S8H1l4AaABAg,"Siraj, there&#39;s a Git Issue that may help categorize which of your repositories can be fixed automatically and which that will require human intervention...<br><br><a href=""https://github.com/git-utilities/fix_logs/issues/1#issuecomment-579574567"">https://github.com/git-utilities/fix_logs/issues/1#issuecomment-579574567</a><br><br>... the default `config.json` has also been updated with those repositories that are easiest to fix via script.<br><br>Let me know if questions on resolving merge conflicts arise and I&#39;ll try to make some time for you.",0
Ugx6JSQtFBEjalb7N994AaABAg,Your subscriber count is finally increasing!!,1
Ugw7D0YY3ThTQ5lDZPN4AaABAg,Glad to see your mojo back!,4
UgymLbQTt1JctsI9jSR4AaABAg,You have balls Siraj I give you that<br>Ur previous video got so much hate yet so many likes in this video. Your audience is at war with each other.,3
Ugz_GqrOjrUflL9Vwil4AaABAg,Looks like everyone is getting a like 🙄 <br>Very informative by the way . Nice seeing the real Sitaj back 🙂,8
Ugw0KxLHoJKKAT8kg8h4AaABAg,Thank you,1
UgxemD5BV4l5Bn0gpfR4AaABAg,Siraj is back stronger and assertively than ever. AWESOME!,8
UgzlUn2wKVFu1kIdwgN4AaABAg,These are getting better,3
Ugw9Bg107LLfAaOOEkR4AaABAg,"I gotta come up with new comments besides &quot;You are so awesome, on so many levels!&quot; Thank you!",2
UgyIE8XooRJzhsC-ptF4AaABAg,...like the ice cream cone rotator... lol.,0
UgwLba68oeirPCzzzE14AaABAg,"Can que simulate simple cells? If yes, can we simulate simple multicelular organisms like a worm? If yes can we simulate complex multicellular organism like a fish and it&#39;s brain? Or a human brain?????",3
UgwCudFgI3s1mVFWZfR4AaABAg,"very interesting, thank you",1
UgzrH3PI0fFZs1EFvl54AaABAg,You are my super hero inspiration! Keep going!,4
Ugyo5aRIZ9ZHpyY7LkV4AaABAg,So great full for your contribution and dedication for democratising artificial intelligence and demystifying it.,1
UgxMFgOM6Ff3VstqUJx4AaABAg,lol I thought in the beginning he was talking to the plant xD,7
