CommentID,Comment,LikeCount
UgxvJEIASYKp_yHLeRd4AaABAg,Literally gave me chills in a good way. Very moving.,1
Ugxdb7MGccE3h7Hqv3N4AaABAg,"Computer by itself created 40000 inventions, it is written on the internet.",0
UgxvvFJ2WaZMZPrF_XJ4AaABAg,I was here. I saw it,0
UgwAZfhjLqzGsGYqo1Z4AaABAg,i have a question what is the thing proteins swim in... like its a chemical composition that moves in???like whats the empty space betweanthem... cant be water because itsa chemical cant be air because its a chemical and they bond ...what is it then?i mean do proteins move because of constant bonding and unbonding???,0
UgzxmX0menP5e6DpmGZ4AaABAg,"Hey Deepmind, please do something to eliminate corruption from the face of earth",0
UgxCD4pdRqZIE2rHO6Z4AaABAg,It&#39;s actually worse than existing folding servers at least for G-protein Coupled Receptors and other membrane-spanning proteins.,0
UgyS8d5TsdTrwe_EDTR4AaABAg,WTF is this? Enlighten me please.,0
UgwHUHTRAItevCjaFzh4AaABAg,Wasn’t this used to build one of the COVID vaccines?,1
Ugy22NLnDWkkfBpCKdh4AaABAg,"As important as this is, I wonder how many people can actually implement this newfound knowledge ...",0
UgzrenS07SZvhPVKlht4AaABAg,You did it you didn&#39;t you 😳😳,0
UgyWub6t2szVBQlMTz54AaABAg,Brilliant! Amazing,0
UgzNUmqPXRUFHba4em14AaABAg,Need longer video and start the podcasts again.,1
UgxQM-0pQprTXUwy9ON4AaABAg,"I wonder, what the trained network weight distribution can tell us about the rules of protein folding. Can the problem of folding be reduced to a set of rules?",4
UgxX0n6mZyPGnmSc8r14AaABAg,I was alive to witness it,2
UgwvoHy5xlqLiVVj-ON4AaABAg,WTF? This link isn&#39;t allowed to Syria. <br>Your client does not have permission to get URL / from this server.,1
Ugy9CC4REypC9robx114AaABAg,"Imagine being the kind of person who dislikes this, lol 🤪",1
UgzrNuvJ1t22GOwqyO14AaABAg,"Pleasure Island is a cursed island with an amusement park seen in the 1940 film Pinocchio where it is shown to turn mischievous young boys into donkeys, when you mess with folded proteins",0
UgxK3AxFGbbQhPryA-l4AaABAg,What used to take months and years is now taking minutes. The power of AI is truly amazing. Even Sarah Connor is clapping her hands at this.,16
