CommentID,Comment,LikeCount
UgwQKFlczdeeePd5-sV4AaABAg,"HEY, CLICKBAIT.. YOU EXPLAINED NOTHING,,WASTE OF TIME",0
UgxVnIB08K3fREsIk5B4AaABAg,Great explainer!,0
UgyyPDelXcsbJbYOlRt4AaABAg,It&#39;s just a start,0
UgwC2LvV3GXJl33qApN4AaABAg,How does this compare with Rosetta at home and Folding at home Distributed Computing projects?,0
UgziahT2UtiqQhgGgD94AaABAg,Look up you are a impossible machine. The channel of the video is called Kurzgesagt.,1
UgyT-aqqmVxYGyBcR7x4AaABAg,"Big title, empty content",0
UgwPyoDw3IiXW7Fgq5R4AaABAg,"This was not very informative, unfortunately. AlphaFold sounds very interesting though. Keep up the great work!",0
UgxW1cSEXnS2ztC9Hbd4AaABAg,"Fine, but if the body needs a certain protein shape for a certain function, how does it figure out the sequence to do it?",0
UgzuVQjdUdNYkfwJsMt4AaABAg,What is the margin of error and how is it managed?,1
UgyoBKOP7BZz4TXmRrx4AaABAg,Mr and my GYMBROS bout to be on a new type of creatine!!!!!,1
UgwPoC4UQTLOWvQa90d4AaABAg,"The goal is to make a universal fabricator. End to hunger for one thing. Instant antidotes, vaccines,",0
Ugykx_dfEg1_OmSDOV94AaABAg,"Indeed AI will significantly helps solving at least %90 of the protein folding problem but with capital letter B , in no way solving this problem will be as greatest achievement  ever ! Because human mind, brain and diseases inevitably represents a daunting challenge in such a a way there will always be more unfathomed issues in human life and diseases to put it lightly.",0
Ugwo1oIKL7PXsRSEeSx4AaABAg,Now we need a paper folding ai,1
UgxuEB7lxyw8gIL-L2B4AaABAg,"This is a bad video.  Nothing is &quot;explained&quot;.  Alphabet:  stick with awesome science like AlphaFold, not content-less promotional videos.  <br><br>(There is no dislike counter, so I had to leave this comment instead.)",0
UgwBIun5HYrgFz_Amhx4AaABAg,Can Alphafold explain how proteins are folded? What’s the mechanism?,0
Ugy9XejZbOZp0mFJMeZ4AaABAg,"@<a href=""https://www.youtube.com/watch?v=KpedmJdrTpY&amp;t=27"">0:27</a> &quot;we know millions of protein but structure of fraction of them are known&quot; Not quite understanding what this means. Knowing protein does not mean knowing its structure as well? Forgot to say, amazing video as always :)",0
Ugz_WAtwg34ZRdPfOjx4AaABAg,"“Could lead to exciting breakthroughs”, but WILL lead to evil the levels of which mankind has never experienced!",0
Ugy15nhTqoU-VW3OISt4AaABAg,The video isn&#39;t bad but it&#39;s clearly clickbait<br>Like ty I know what a protein is more than what is explained in the video and when I searched clicked on it I expected to learn more about how they are folded post traduction and for example the role of the Heat Shock Proteins in this or something<br>So it clearly doesn&#39;t explain protein fold,0
UgyS8dHNczuETY0vTfx4AaABAg,I need science thing to be explained as simply as possible. Am not from a  science background so short videos that convey with analogies are good for people with a brain like mine.,1
UgyC1xFIveT1IVboS4x4AaABAg,"Hey Deepmind, please do something to eliminate corruption from the face of earth",0
Ugxl8-YvJTlShOlII2h4AaABAg,My genetics teacher always used to say: DNA-RNA-Protein… thats all you need to remember….,0
UgwrU-UUolzOs9k4UYR4AaABAg,I like the body builder! RRRRR,0
Ugzt4BWvEBz47t7Pv6B4AaABAg,Great video but choosing to render this in 15fps really takes away from the value :P,0
Ugw0EJEverAm--Cuiyt4AaABAg,"This still doesn&#39;t explain how proteins begin folding AS they are being constructed. Meaning, they somehow know the configuration they will become before they have all the amino acids that would determine the structure.",0
UgyFabIRnGTHkF_qky54AaABAg,Va göru då bror du är är du på väg hem,0
UgzxSRgbTQmX2jhcXD94AaABAg,"AlphaFold sounds amazing! Loved this animation and video, overall. Hope to learn more about discoveries and progress it has made in the future. I am going to really hope that it can help us tackle things as important as our world&#39;s pollution and climate change problems. Without some major progress in those areas, I&#39;m afraid for the future of humanity.",16
UgyTkCKwFfN0Q-VmPLh4AaABAg,the windmill turns the wrong way,0
UgwcmwdDBniWpcbnHWJ4AaABAg,Круто!,0
Ugw46XXTatobQuuoDyR4AaABAg,"If my understanding of AlphaFold ll project is correct DNA encodes with an quattuoral language that is three dimensional in nature and the folds are the places where the data sets meet, much like looping and nesting in C++.<br>Programmers think in bi-dimensional space (think code line numbers) and it seems that DNA encoding operates in tri-dimensional space where not only the line of code but also where in space that line of code interacts with another line of code creates specific protein coding.<br>Edit: I have read further and also think that gene coding actually operates in a 4 dimensional space with one of the dimensions being the quantum realm where entangled quantum pairs in a non locality pass information between genetic structures.",1
UgwSQtVjD6d8tma89-h4AaABAg,"Finally, a kick to the tick",0
UgxPfmBag_9Q6jzpZnl4AaABAg,He’s a genius very very cute 😝,0
UgzqYtmeDz2ISIVq0614AaABAg,This robot is a genius 😝,0
UgxqvnNITmoZitveSAF4AaABAg,"&quot;Imagine a future where we could understand diseases more quickly and develop drugs to fight them&quot;. And then make those drugs $20,000 a pill because the pharmaceutical industry is a monopoly. Yeah, imagine a world where with this knowledge only diseases are fought; don&#39;t make me laugh. What else could this be used for? How could you modify people directly through their protein structures? What would these modifications do to the individual? &quot;Hey, we can modify the proteins in your child so that they never will have depression, anxiety, and fear. All for a low price of $7.99/month&quot;. To clarify, I&#39;m not saying stop the research, I&#39;m saying consider the possibilities both good and bad.",0
UgyjK9gYwy8vE6ktsup4AaABAg,Amazing,0
UgxG7jm5THl6tt3OcHh4AaABAg,"daim... this wording girl. machines machines machines. we are still humans. creatures with souls. try a better wording for that kind of things. don&#39;t put only mechanic in it and let the organic off. maybe we can be or are cyborgs in someway with our galaxy buds/air pods, laptops, smartphones etc.., but we&#39;re still humans with souls. and also the earth, and the ground and the woods etc.. I think that is an important seeing we shouldn&#39;t miss. and this is not flaming etc... what i wanna say is, just lets hold the golden middle way in this two extremes. i think u can imagine it better if u see the war in the movie avatar pandora. no fight, golden middle way.",0
UgyJEC5nb_qiMMyE5wd4AaABAg,"Fake british accent, quiet voice, out of place louder music, poor animation... I can only assume those likes are fake since this is a google company just like youtube. But put that aside, the work you guys do in DeepMind is amazing. Just don&#39;t let it be presented to the world is such horrible way. Please.",0
UgwaWPC70MpBcyX_YHx4AaABAg,Do you think China is using theirs to run war games. Could it have told them to release a moderately deadly virus as the first move?,0
UgwU5yaRWfXdZ8Kz-HJ4AaABAg,this should have 1 mill likes.,0
UgwOaMN3SOvGFvISWf54AaABAg,biology is just a programming language implemented with chemicals,1
UgwDw1BJlQZCQw7MtMZ4AaABAg,Did it help find a vaccine for COVID-19 or is it bc still in progress?,0
UgwPD5PHmpKt4wCl77l4AaABAg,game changer in  a single generation,0
UgyRwlaVIUXIrdFWDMZ4AaABAg,so does this mean the human protenome is soon complete?,0
UgyHlcBpw5OpxO9sWgF4AaABAg,"Request an investment meeting. CEO KIM ZOON HO<br><br>Co-Innovation Project with SAP Enterprise! AI<br><br>We have completed the process approval.<br><br>Dubai, UAE<br><br>The Annual Investment Meeting is the largest investment platform in the Middle East and North Africa.<br><br><a href=""http://aimcongress.com/"">aimcongress.com</a><br><br><del>Korean patent acquisition</del> 2021 USA,China patent<br><br>My dream is to narrow the gap between the rich and the poor in mankind. Forever!<br><br>Innovative Provide Time Control Marketing Solution! (A revenue-increasing solution) UNICORNZ<br><br>I want to change the world together!<br><br>It is asking for continued cooperation from NASA. <br><br>Movie 2014 LUCY ? = 2021 AI Speaker Devices Project! [0 0 3 5] <a href=""http://www.35vision.com/"">www.35vision.com</a>",0
Ugzq0tKAI7iSQ5s5Vfp4AaABAg,nice work,0
UgxzXAlFs2V7yh-cTQ54AaABAg,Do we know what the protein does once it has folded?,0
UgygxKSjAiMvWVIxUA54AaABAg,"&quot;IF&quot; my Theory Of Everything idea is correct, (and the gravity test needs to be done to prove or disprove that portion of the TOE idea, and the gravity test will speak for itself, it will either be true, partly true, or not true), then we could potentially have the literal TOE of this entire universe.",0
Ugx-xMGrUrSZI6QcgtF4AaABAg,"hmm, how many amino acid are there? some says 20, 21, 22....",0
UgxiF00eaL3SlXeCdoB4AaABAg,The animation studio who put this together did a great job!,13
UgxK-Z7J4LeIR5mx6LF4AaABAg,Will it perfect the Whey Protein to rip my muscles?,0
Ugy48H31sb345lclEK94AaABAg,Big if true,0
Ugzc5740UFJws7yYwq94AaABAg,"Letting an AI system generate random probabilities of shapes with the possibility of spitting out the shape folded correctly isn&#39;t solving anything.. We don&#39;t know why they fold that way, when, or how. This is just allowing us to see what the protein shape would be once folded - but the way it gets there is far from understood. Also, the team themselves have mentioned its only successful on a small subset of proteins. A solution that works for some but not all with no rules isn&#39;t a solution either. This is decent for building a company around feeding data into a python application to train, but not exciting at all. We aren&#39;t learning anything at all by tweaking weighted values until the AI process manages to spit out a decent answer.",2
UgylwdKOFP8G5aI5G3R4AaABAg,Sad that the caption was a clickbait,0
Ugx2vTccP5AZyivdtvV4AaABAg,this should be a clear indication that the mathematical probability of a protein happening by chance is impossible. nonetheless DNA! the big bang theory is garbage. we are created from God.,0
UgyZ8G7QxW-W5ZjP6bV4AaABAg,Now ask it make a flying car...,0
UgzIza8UWtiBCJBK9aZ4AaABAg,"What are others long-standing problems, in any field, that Deepmind could be applied to?",1
UgyZWauSEwv_G8hZWLh4AaABAg,What is the input to the problem exactly? The sequence in which the amino acids appear? How do you know when you have computed a previously unknown shape correctly?,1
UgwTEaJssPlGcZjYVCx4AaABAg,This is fucking Dope.,0
UgzA9cZ_XRVJtcuD1dV4AaABAg,once you know the protein shape. what good does it give us though?,0
UgzwmqP8AL_onnH9zRB4AaABAg,Demis Hassabis needs a Nobel prize,1
UgyC6fqCKmw94WuVyYF4AaABAg,"AlphaFold... nice play on the name of the AI thats almost guaranteed to be used for this research, AlphaGo. Same AI ill bet ;)",0
Ugy7Q2x76pHMFk6CMUN4AaABAg,RIP future biochem undergrad students,0
UgxZt788fnIJiAbAgsJ4AaABAg,"We are facing problems like the natural limits of the Earth, increasing difficulty in the balance of economic &amp; social activities,<br>health (including mental, social) degradation over time &amp; generation, the necessity for the scaling-up &amp; decentralization of policies.<br>I hope we can achieve not only ecological &amp; economic sustainability but also social (including human) &amp; political sustainability<br>with new technologies centered on AI and policies to utilize them 🌈.                  <a href=""https://19084.mitemin.net/i500192/"">https://19084.mitemin.net/i500192/</a>",0
UgzbKEaz8WUVYA16and4AaABAg,What companies and sector will benefit from this?,0
Ugzbdro__mcYbdWJFwF4AaABAg,Awesome,0
Ugw4gcug2VC0aXrFGy94AaABAg,Interesting content,0
Ugzp2fLJCf4IVBjpRjR4AaABAg,Stunning accomplishment. Congratulations.!,1
UgwcnhffQYH4h2epoVx4AaABAg,Amazing!,0
UgwPo9PFsNC-tcnji1J4AaABAg,I&#39;ve been waiting for DeepMind to accomplish something outside the constraints of a gaming environment. Well done.,8
Ugy_Zak3j7_vqBXpJ7V4AaABAg,Guys welcome to the future,0
