CommentID,Comment,LikeCount
UgyVqErR0KGM0hYFN5F4AaABAg,"A quick video on the basics of DeepMind&#39;s AlphaFold 2 breakthrough. Here are the timestamps:<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88"">0:00</a> - What happened?<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=63"">1:03</a> - How big is this accomplishment?<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=279"">4:39</a> - Proteins and amino acids<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=317"">5:17</a> - Protein folding<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=506"">8:26</a> - How AlphaFold 1 works<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=585"">9:45</a> - How AlphaFold 2 works<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=729"">12:09</a> - Why is this breakthrough important?<br><a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=799"">13:19</a> - Long-term future impact<br><br>Please support this channel by checking out our sponsors:<br>- Vincero: <a href=""https://vincerowatches.com/lex"">https://vincerowatches.com/lex</a> to get up to 25% off + free shipping<br>- Four Sigmatic: <a href=""https://foursigmatic.com/lex"">https://foursigmatic.com/lex</a> and use code LexPod to get up to 60% off",232
UgwRj1oPCTrNvyKQFb54AaABAg,"We use alphafold2 every day in my lab, it’s quite beautiful and powerful - but it can still be better, the problem is not completely solved, science must keep iterating forward!",0
UgwC1Dhxfm4gxLunX8x4AaABAg,"Robert Zwanzig, a premier figure in Statistical Mechanics, used simple models to illustrate the speed of protein folding. He basically one of the fathers of modern statistical physics. Along with JW Gibbs, JG Kirkwood, PG Wolynes,  D Chandler etc, etc. AlphaFold predicts the structure, but is not in the business of predicting the dynamics of the fold. There is a gigantic volume of work by leaders in stat mech unknown to people in &quot;Computer Science&quot;. Speaking of which, a large team appears to have worked on AlphaFold,  the lead of which was John Jumper, who did his Ph.D on protein folding under another prominent stat mech professor, Karl Freed from U Chicago. What I am trying to convey is the scope of this is beyond: Alphafold is &quot;standing on the shoulders of giants&quot;, who with nothing less than a pen an paper, could convey grand ideas with the simplest of models, and that is true genius. Jumping back today,  Frank Noe from Germany is perhaps the best able to bridge both worlds at this moment and communicate connections from different field.  All best.<br><br>As a side note JW Gibbs was an incredible American scientist in the 1800s who created much of the foundations/machinery  of statistical mechanics that is used today. Just looking at his &quot;Elementary principles of statistical mechanics&quot; published in 1902 is awe inspiring. He is probably one of the least known, appreciated American physicists but hugely influential to developments in 20th century.",0
Ugw8lwxVoR2XErNzopJ4AaABAg,❤this is very good news,0
UgwKK2tLH7yDStbyGXZ4AaABAg,"Scientists: With this, we can help cure misfolded protein disorders.<br><br>Military: Weaponized Prions you say?",0
UgziQoo4K7rBP2_A16F4AaABAg,"I just spotted this video. Lex!  Yes, by all means, please keep on creating these educational lecture segments.  You have a terrific way of breaking these complex lessons down to be understandable and fun to analyze.",0
UgxFVouXxKHT28apg6p4AaABAg,"I miss these videos, Lex.",1
Ugy9x_9WY3YeTT9WrX14AaABAg,i don&#39;t think boston dynamics&#39; spot is a good example of ai. it mostly uses an analytical method (modelling physics and kinematics) for movement,0
UgxBe9Zg7to-wPd0Bgh4AaABAg,To understand a gene by seeing what protein it folds.....where do we find the genes that would be of interest?,0
Ugy55BAMwm67DXR1jpp4AaABAg,"@LexFridman. Thank you for this fascinating overview.  You state &quot;proteins are the building blocks of eukaryotes.&quot;  Considering their evolutionary significance, I think it&#39;s vital to mention ALL cellular forms of life (on Earth) use amino acids, which of course includes the prokaryotes (Archaea and bacteria).  Acellular, infectious agents include viruses and PRIONS. Viruses are essentially nucleic acids encased in proteins.  Proteinaceous Infectious agents (PRIONS) are intriguing, transmissible proteins that cause disease via perpetuation of misfolding (eg. Scrapie, BSE, CJD, and nvCJD).<br><br>Prokaryotes and viruses have coevolved over several billion years and humans are but a speck on the evolutionary time scale compared to them.  Every now and then a thing called a pandemic happens and remind us of that fact.  I&#39;m in awe of the advances in science has made in combatting pathogens and to gain insight into the human microbiome. Machine-based learning not-withstanding, will we benefit from such advances in the future if we continue to experience the politically-charged, anti-science, anti-intellectual climate?  I&#39;d like to remain optimistic but realistic.  We can solve humongous issues when we work together in an evidenced-based manner but such cooperation seems less likely in a human-centric world mired in inequity and power struggles.   As usual, it will come down to how we use the technology and who controls it.  Powerful either way.",0
UgxxXm4N-DSq1zNqRdN4AaABAg,"Thank you so much for this video! I&#39;m late to this fascinating and moving party that is your channel. It&#39;s growing on me very rapidly, though!",0
Ugwrc-18GV4qlAOJu114AaABAg,I can feel the taste in your voice. Really..,0
UgyvC2DvyRrmOewsNEN4AaABAg,Can you please do the installation of alphafold2,0
UgztVmJNiXpOAX34DN54AaABAg,Even if you don’t make a good biology explaining <br><br>I see a closer future in dna biological identification 🪪 <br><br>And of course is a great break through <br><br>Specially if we want to become a multiplanet species<br><br>It seems a little wild but is the first solutions <br><br>I’m as excited as you and the future is bright <br><br>Glad we have a comunicator as you <br><br>Godspeed,0
UgysWrIDpOoe8kHzimR4AaABAg,I believe we live in a construct that is ruled by a true AI and dont think we have that close of a grasp on the true aspects of what AI really means yet.,0
UgzV2oul8saM1LlK-aB4AaABAg,"A few points: (1) There&#39;s a still a long way to go before the protein structure prediction problem is &quot;solved&quot;, let alone protein folding. Though AF2 is the undisputed champion *at the moment*. (2) The 2013 Nobel in Chemistry for &quot;multiscale modelling of complex chemical systems&quot; was the one for protein folding simulations and I doubt they&#39;ll do just another in Chemistry without AF2 models being used for something that is deserving of a Nobel in and of itself; and (3) it is John Moult/CASP that really deserves the Nobel, not the methods that are doing well at this moment. Prior to CASP things were a mess for decades until John put in his energy to create this challenge and the field improved over the years. (I am biased but this is my view.)",0
UgwKOypV-wpuuPUfjH94AaABAg,"Quote unquote is right, because not only have they not solved the problem, they haven&#39;t even tried to address it.  This is not really such a big advancement in structural biology.  There are many shortsighted people, even in the CASP community that have misconstrued the protein solving problem as merely being able to predict how the proteins will fold from their sequence alone.  This is not really the spirit of the problem though and was not really the difficult part of the problem.  The entire difficulty of the problem was to make the prediction essentially &quot;from first principles.&quot;  That is, can you predict the folding based on the physical properties of those component molecules (molecular force fields), as is done in de novo molecular dynamics.  The entire interesting part of the problem is that this is difficult and that many proteins may in fact NOT fold to their &quot;native&quot; conformations simply by being placed in water.  There are many proteins that fold in specialized biological environments such as within other proteins (chaperonins), etc...  Busting out the big correlation machine and utilizing the huge built up protein structure databases is really not that interesting and tells us pretty much zero new information about the folding process.  Yes, it may be useful to save time in drug design (maybe... currently most drugs are small molecules anyway....) eventually and still be useful, but entire point of the protein folding problem seems to have gone well over their heads.  And I gladly accuse those in the community that should know better of this publicity stunt as well.  Baker should be canned as he&#39;s either acting as a total shill or the problem is well over his head and he isn&#39;t capable of teaching the subject matter.   I&#39;m frankly shocked by how little opposition has been expressed to DeepMind&#39;s silly crowing of victory.  This vast oversimplification also ignore very obvious things, like disordered proteins that don&#39;t even fold in the first place, and that the mapping to a 3D structure isn&#39;t really 1:1, not even close as most proteins have quite a bit of flexibility in their structure so what is reported are averages.  Levinthal&#39;s paradox isn&#39;t an actual paradox, just a pseudo-paradox, and the number of ways you&#39;re quoting to fold is based on either a particular protein or an average, as the folding possibilities will depend on the length of the protein... in reality many of these conformations are not energetically feasible though (i.e. you pretty much couldn&#39;t reach them without tearing the molecule apart and would require huge Gibb&#39;s free energy) so the real number of potential states is far far fewer.  This is all highly unlikely to help solve misfolding diseases in any significant way because it offers 0 additional insight into the folding process, so what went wrong and why it went wrong are things the models don&#39;t even begin to address.  I recently read a paper where they evaluated attention from BERT models for the same task and no, the attention isn&#39;t really showing anything useful either, it mostly just confirms the things the model was trained on.  There&#39;s a lot of speculation on what it will be good for because there are few actual use cases for this right now.  Even when it comes to protein design, the most difficult part there is actually producing the protein, which you have to do anyway.  DeepMind might cut down the time on that, which would be nice, but that&#39;s certainly not the level of achievement that Alpha Fold has been hyped as.  They&#39;re not going to really help that much on the physics based simulation front either, those models are CPU/GPU constrained rather than input model constrained per se and are actually the models that are at the root of the protein folding problem in the first place, that these models often do not produce the folded structures that are observed.  Then again, we don&#39;t strictly know that the observed X-ray crystallography structure even are how these proteins appear in vivo, they quite likely are not in many cases since many non-physiological steps are taken to obtain those crystals (and obviously they wouldn&#39;t be functional in your body while crystallized).  So the fact that AlphaFold is great at reproducing folds that we would expect from crystallography doesn&#39;t mean that it&#39;s really doing a good job at prediction of the actual folding.  Just the fact that all of these potential issues are glossed over/totally ignored and AlphaFold doesn&#39;t discuss them openly and honestly in order to bask in as much glory as possible is incredibly irritating.  They way overhyped their SCII AI, AlphaStar, as well...  there they started off choosing that game because of problems like imperfect information... and ended up building AI that won games chiefly on strong mechanics rather than good decision making...  In both cases what they have actually achieved is not how they have presented their achievements.",0
Ugx5PHxk7lXB-ZOI1Hh4AaABAg,This was a good roundup. Great new video with Demis too... keep em coming,0
UgwYVR7kvY1PQEALQuB4AaABAg,it&#39;s now 2022 what has deepmind been up to lately.,0
Ugxvomhcw9SjHAwl9i94AaABAg,"<a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=565"">9:25</a> What is non learning based gradient descent?",0
Ugzjv2FR90X2q28ECvd4AaABAg,"<a href=""https://www.youtube.com/watch?v=W7wJDJ56c88&amp;t=317"">5:17</a>",0
UgynDtrgRayh0Mck93h4AaABAg,"Thanks for the summary.  Very cool, quick and concise.",0
UgwyLv5XriNYZRcU8g94AaABAg,"Just to add a bit more to the discussion here:<br><a href=""https://www.youtube.com/watch?v=gVzPMZqOTo4"">https://www.youtube.com/watch?v=gVzPMZqOTo4</a>",0
Ugy3x5GsS3654zPv6Kx4AaABAg,A Lex Fridman video on AlphaFold2 was not what I expected but definitely what I needed. Thank you for everything you do!,0
UgwV7Gp6JXGNOve-MfJ4AaABAg,"On the Nobel prize. Engineering projects were never considered as far as I am aware. To make a car drive automatically doesn’t answer any fundamental questions of physics, chemistry or biology, but the question of how proteins fold has been a long standing question in science. The problem with neural networks though is whether they provide any new insights. Predicting the solution is certainly a breakthrough, but does it provide new understanding? That has yet to be seen",0
UgxtLIFhGbYwOtneyHN4AaABAg,"On chess, there are different estimations, but on the order or 10^100, so similar to the protein folding problem. The differences are the constraints and also the ease of defining an appropriate loss function.",0
