CommentID,Comment,LikeCount
Ugxm-xl1sPEISmNP9SJ4AaABAg,This is really a great Video on a High Level scale. That was high quality and so inspiring. I wish there were more of them again.,1
UgyPrBLzRFeV9aaHVpp4AaABAg,One year later....,0
Ugze3li_wavPnRS7fId4AaABAg,"Now they need to get the machine to design an even better version of itself. Though if it becomes self aware, there might not be a need to model biological systems any more.",0
Ugx-T1bqot1hZEcmfwV4AaABAg,MAKE ALL BIOLOGY A SOFTWARE PROBLEM AND ITS GG. SOFTWARE PROBLEMS FOLLOW EXPONENTIAL CURVES,0
UgzvsaCkSCtGOzeG5lR4AaABAg,&quot;I went ahead and recreated it programmatically&quot;... only changes the README on his fork.,4
UgzTbDXcacStzoTMTsN4AaABAg,"less hands please,<br>Thanks Sir.",0
UgyjwTr7AMWedbzDpSJ4AaABAg,Who&#39;s here after my fav boi plagiarised the shit outta everyone :),3
Ugwlm5ztU8xW90kiD714AaABAg,"Man, why so much hand gestures ? Go easy on coke dude.",0
Ugz9JQrIxIizGH2av3V4AaABAg,"Great Video! Really simplified the blog and the paper! Just wanted to mention one point, the team consisted of members with the knowledge of structural biology which is a subdivision of molecular biology and biophysics. So technically they weren&#39;t noobs at all but experts in it! Matter of fact, to quote &quot;Structural biology is a branch of molecular biology, biochemistry, and biophysics concerned with the molecular structure of biological macromolecules (especially proteins, made up of amino acids, RNA or DNA, made up of nucleotides, membranes, made up of lipids) how they acquire the structures they have, and how alterations in their structures affect their function.&quot;",0
UgxPmyfkVLvSONmpRbt4AaABAg,"this video is incredibly, well done!",0
UgxW349NSOmYkdVo4uF4AaABAg,"You made it sound like you developed the codes, why did not mention you actually &quot;borrowed&quot; from Eric (<a href=""https://github.com/LEONOB2014/MiniFold)"">https://github.com/LEONOB2014/MiniFold)</a>",0
Ugx2ZZUfcCBZpDDURIF4AaABAg,"I dont have a computer science, or biology degree, however, I walked away from this video with just one question I want answered. <br><br>WTF is a moneymaker?",3
UgwbCPdTysym_mu-n_h4AaABAg,I can&#39;t stop replaying the first 3 seconds,0
