CommentID,Comment,LikeCount
Ugz97YbJlZefvRlauv14AaABAg,"Here we go! Just about to read the story of AlphaFold 2 and the 3rd knocked in😂 long hours to come with extra cups of coffee, pretty interesting though.",0
UgxrgqYRxxfrMiUecVp4AaABAg,"More please, a documentary like the AlphaGo one, it was amazing",0
UgzpjspvEP-gdUHYkUJ4AaABAg,"3 years in and we still don&#39;t have an algorithm that can highlight sarcasm in youtube video comments. just kidding, this was absolutely astonishing. any ideas on how much faster we iterate in 2024 compared to 2020?",0
UgzD5LVmB8-XsvUPzBN4AaABAg,Are they biologist or computer programmer/scientiest? One thing for sure they are geniuses!,0
UgwHi607IuB7C7j4MoV4AaABAg,How amazing we started with protein folding now we turn our attention and precious resources to building LLMs that can tell us what to have for dinner. What a jump!,0
UgxmLR27KIMVT4NjclN4AaABAg,Where are we at in 2024?,0
UgyiN8rqjGMDfLSVtsB4AaABAg,"just have to do little tunings<br><br>ah yes, it can and yet cannot completely<br><br>a GDT matching test<br><br>it’s just a tool: voracious child mind without interpretation<br><br>a lower hampster-mammal but super…<br>a super lower hampster<br><br>it itself needs reinforcement<br>-&gt; implies a lessor understanding<br><br>so called ground truth<br>without sometimes a practical sensibility<br><br> BUT staggeringly processive ; it reads a lot; <br>it learns; but as my opinion, not as well nor full<br><br>//it lacks billions of years of ground state knowledge<br><br>however it did model Covid-19 viral structures,<br>which makes me think, spend billions 🎉<br>DeepMind 2025",0
UgwlRMyp4MiXaMb_Npd4AaABAg,Can some one explain to a layman what benefits these breakthroughs have since resulted in?,0
UgxOEeBiO35AdVy3eBt4AaABAg,I feel like we are closer and closer to killing the sequences of the code god.The second we humans along side  A.I.figure it all out is the very second that we siest to have ever existed here and now as we know it to be here as such the same is as then and there ever knew it to be known to be.we will surly Crack and spread out then freeze dry and explode into more structural dominion of survival armored suites and so much stronger yet dumber maybe then we won&#39;t kill our selves as we are the code sequence of God evolution being keys that unlock the souls potential essential for meta more phases.,0
UgwpKqmouJy9ZHvqrnt4AaABAg,"<a href=""https://www.youtube.com/watch?v=gg7WjuFs8F4&amp;t=10"">0:10</a> &quot;We have been stuck on this one problem: how do proteins fold up?&quot;<br>The rest of science, including physics, chemistry, astronomy etc etc: am I a joke to you?",0
Ugz3HWWwGrne5K0Q-ph4AaABAg,Does anyone know of any certified training programs on AlphaFold?,0
UgwUQG5h-R2Ewuctw_R4AaABAg,Lessssgooooooooo,0
UgxJbBLuWi0Ddi6bHP54AaABAg,"<a href=""http://www.youtube.com/results?search_query=%23prof"">#Prof</a>.Dragan",0
Ugzcj8QWxU0eLXzKDhB4AaABAg,This content is a goldmine of insights. A book I encountered on this topic was equally transformative. &quot;AWS Unleashed: Mastering Amazon Web Services for Software Engineers&quot; by Harrison Quill,0
UgxYFl-q4mqisdEYoYB4AaABAg,"i like you. Please talk slower, so we can get it, thank you. Pura vidda!",0
UgziITg_sTE8draltRl4AaABAg,I hope AlphaFold wins the Nobel Prize in Chemistry.,1
UgzbezkgmH4ti0s7ii54AaABAg,Song name?,0
UgxR0yEx9xdFEutr0SV4AaABAg,@Google DeepMind I wish you could try to improve alpha zero-chess so it can defeat stockfish 16-chess in a 1000 game match,0
Ugy7IQFk3w1Z7HKY1fh4AaABAg,Even how well this is explained people just don&#39;t get how much of a breakthrough this is...,0
UgwK-iDOs9SnLYpQmup4AaABAg,How do we know plant length and not the shape of a protein,0
Ugy4ZleGfl0vg_sal4l4AaABAg,Какое прекрасное видео! Прекрасные лица и прекрасные цели!,0
Ugxi7Cyki6SLGoaDOCp4AaABAg,"Most people have no idea of how big of a deal this is. Generative AI gets all the press right now, but protein folding has the ability to cure basically ALL diseases and even aging. For instance, AlphaFold 2 was used this year to come up with a potential drug for liver cancer in 30 DAYS, when it used to take years and cost billions. People would spend their entire Master&#39;s Degree on analyzing <i>one</i> protein. <br><br>A recently retired GP (sometimes, the view from the trenches is clearer, ironically) says he is absolutely stunned at what this can do.<br><br>I don&#39;t know the timeline, but there are already other protein-folding programs that are 60 to 1 million (not a typo) times faster than AlphaFold 2.",1
UgxjYcqEuBx_i0kQRk54AaABAg,"Great<a href=""UCkszU2WH9gy1mb0dV-11UJg/YvgfY-LIBpjChgHKyYCQBg""></a>",0
UgwQrBdD_J41OsYwmfh4AaABAg,"Sure, DeepMind  has figured out how to fold proteins, but it will never understand the mind of the domestic house cat! 😼",0
Ugx6zOo4r_6key4J-Q54AaABAg,"I hate seeing the stupid people who in the comment section. 💀 When it comes to stuffs regarding biology, the comment section are always full of idiots. Conspiracy theorist and stuffs. 💀",0
UgzEXIRYqG-C1OYQ5U14AaABAg,"The problem of protein folding to me seems very similar to origami, only while origami goes from 2D to 3D, protein folding goes from one dimension to 3D.",0
UgylPsJ_YY1GGjfNU-Z4AaABAg,amazing step medical field,0
UgyPmZjKOFv4LWCYPWZ4AaABAg,"Indeed, &quot;What will be the next surprise?&quot; is the chief motivator of life. Curiosity and discovery. Excellent work.",2
Ugwd_YZwP_iyjxBSCc14AaABAg,I want to listen to the track music in the video. How can I find it please?,0
UgygslJDupzrJyNcNsd4AaABAg,"ok google pr team, we see you want a Nobel prize",0
UgxWPoj2mbPwphNA3OR4AaABAg,You guys deserve way more credit in the battle against covid,0
UgyxkveTQXT97x2jBF54AaABAg,"So are projects such as Folding at home and Rosetta at home obsolete now or still have practical uses? If obsolete, better to use the compute or electricity elsewhere",0
UgzrdCGfi8o8skY8ey54AaABAg,its incredible,0
Ugx7XfGCgptdMuGS8hF4AaABAg,The music is really well done in this video.,0
UgzXt68Bkw5JCnQ56vx4AaABAg,Could I get the epic music on this video?,0
Ugyt80SQ7pzUgk7D1CB4AaABAg,"I am pleased to share with DeepMind, Professionals and Companies the most advanced technological tool in existence: the Digital Twin that I invented in 1981 under the name of Virtual Instruments.  <a href=""https://www.youtube.com/watch?v=fXlp4QLdWQs"">https://youtu.be/fXlp4QLdWQs</a><br>Export the Revit, Plant 3D, Civil 3D, Inventor file of the Building or Refinery to Excel, prepare Budget 1 and export it to COBRA. Prepare Budget 2 and export it to Microsoft Project. Solve the problems of Overallocated Resources, Planning Problems, prepare the Budget 3 with which the construction of the Building or the Refinery is going to be quoted.",1
UgwJeYxI7rzae6u9RU94AaABAg,so they only really mentioned diseases. can this not play a part in aging?,0
Ugzx74T-86U5ISApTRd4AaABAg,"TRULY GENIUS AND IMPRESSIVE, THE POWER OF BRAIN !!!",0
UgzcrD4ENSWuZIaXQcB4AaABAg,Problem Solvers.,1
UgwP0SKPLZhvVTAAAe54AaABAg,So is their gonna be super hightech magic protein testing if so where do we sign up?,0
UgwpFifb1Jzc8za95J14AaABAg,"2022, and it&#39;s a very big thing now",0
UgwLlPFXL6hS_pG7bml4AaABAg,"I am thoroughly and uttered impressed by this result. I was not expecting to see a solution so quickly, but better a slow burning of partial solutions being accumulated. I guess the team picked the right problem for AI, since there are a limited number of amino acids the problem was somehow likely to be solved, at least partially using AI methods. However, i am pretty sure this breakthrough was unexpected. <br>The future can be different in a couple of decades if research accelerates dramatically as expected. Looking forward to seeing many unconquered diseases become a thing of the past. We will see if solving the problem actually allows to find solutions to many problems or if once the structure problem is solved, we find ourselves with the next level of complexity to conquer. <br>Congratulations in any case. This team made history.",0
Ugy-LFb9O6kClALB6l94AaABAg,Why are companies so focused on producing drugs vs cures? It would be great if the target is finding cures for diseases with AI vs using AI to engineer more drugs. 🙄,1
UgwI7wivLCLdO8PbRFx4AaABAg,"I am sorry to say this, but why play music while people are talking I find it inappropriate for such an interesting video.",1
UgyeteczQc3ekFD6qyJ4AaABAg,This is kind of hard to follow...it&#39;s like a montage but everything inside it is pretty out-of-context,0
UgwkZTUDXrtX75j30Mx4AaABAg,Science is amazing,0
UgwPuq6DBr6xeA5aqgp4AaABAg,Outstanding,0
UgxBFp-8hIA8DnM3cEV4AaABAg,a realtime picture of everything,0
Ugw8shOHaRku-XGxTzp4AaABAg,"<a href=""https://www.youtube.com/watch?v=gg7WjuFs8F4&amp;t=206"">3:26</a> As a software developer, I felt that. 😅",0
Ugw2ylkFML1e64JU4Ip4AaABAg,Are you able to elaborate the whole process of drug discovery and show where protein folding prediction is located?,0
UgxvlSj-rkKgCjJ244F4AaABAg,immortality or a virus that wipes out all life within a few months. Great filter moment. So far the most good meaning achievements of humanity has carried an equal amount of bad and its never been easier for it all to go wrong.,3
UgxJMvNe3hrcQxQO8uF4AaABAg,Maravilha. Estou amando poder acompanhar a pesquisa de vocês. Muito obrigada! 😀👍🏻,5
UgydjDB_OGH_2Nu_ohd4AaABAg,I hope that a world war never TAKE THIS AWAY from us. <br><br>We walked so hard up to this VERY MOMENT. <br>We should learn from what we have done.....at least.,1
Ugz8toZJW2Q4A4XJ9p14AaABAg,Why I see alphaford 😎,0
UgybCQnOm3DPg6ubcUJ4AaABAg,&quot;We need to double down and go as fast as possible from here.&quot; Cuts to a man running through the office.,1
UgxS_yy2wGa0r8Ohhn14AaABAg,"Can you imagine the positive ways that these scumbags could change, and impact the world if they simply used their abilities to educate people on how much healthier you can become, by just eating properly, and getting enough sleep?!?!<br><br>But, they chose to become the 21st century version of Purdue meets Pfizer meets Josef Mengele",1
UgyFv_vVE8xKdB0okHZ4AaABAg,You mean FauciFold?,0
UgyiKV5vy-E9M5tQDFt4AaABAg,"These experiments should happen in the United States, too much of power to English people will again lead to colonization and exploitations. Because &quot;History repeats itself.&quot;",1
UgwPWwsQaeIewC5-w6d4AaABAg,"Wouldn&#39;t ist bei awesome, to train deepmind in whale-sounds? Maybe you can figure to understand them",1
Ugy6IDFYLkSvT2-dU5F4AaABAg,💋❤️✨,0
Ugypn7bzHlIk3OgalJd4AaABAg,Bacteria and viruses are fucked once we have AI delivering solutions to problems...,0
UgxX3ihGkCdJkJg8kM54AaABAg,estamos entrando una nueva revoluciona tecnológica,0
UgzlPjhQS2xJcwaJlyF4AaABAg,What coding language would they be using?,1
Ugxpi0GteEM75tsvbsB4AaABAg,so....what is protein folding?,0
UgxhROuNnBTH0PeD2qR4AaABAg,"This is absolutely incredible, well done to everyone involved!!",1
Ugw5MIhfcIoFaAoY_Zt4AaABAg,wasnt this where quantum computers are good at? predicting an outcome out of a huge dataset? so maybe run a quantum computer on the possible results?,0
UgyKeOU_CaT3YaTevH94AaABAg,Do they hire computer science students or biology science students?,0
UgwBuiymolilipyxQch4AaABAg,Blade runner made reality.,1
UgwgBY6F9jSaxLc1UjR4AaABAg,cool..,0
UgwaCIL9ZsrrvPL6YdR4AaABAg,That’s amazing “ Designer DNA and RNA “,0
UgyUOJ39zLyM1R_2x4h4AaABAg,"T1046s2, 96.5% GDT? T1024-D1, 99.09% GDT?!? <br>Wow! Were these just &quot;easy&quot; to predict, or did the calibration just happen to be simply bang on with that one?",0
UgyZyQpflThS-QGgaq94AaABAg,"&quot; it doesnt help if you have the tallest ladder when you&#39;re going to the moon  &quot;<br>from the whole video , this statement i resonate with really well and i will keep in mind from now on .",0
UgxImpafcjvIQ6whLNF4AaABAg,simply by listening to demis I feel like Im getting smarter,0
Ugw_vT0kBvSSzxmKElx4AaABAg,"<a href=""https://www.youtube.com/watch?v=gg7WjuFs8F4&amp;t=206"">3:26</a> Every bio structural student when need help",2
Ugw5FSBQv2HkfynzHUp4AaABAg,"They will never get it, that none of this is real and they just chasing their own phantasies... Look how this all is nothing more than phantasies and Cumputersimulations... its so funny to watch! :-)",0
Ugy4sDef371nz-HH0xZ4AaABAg,What a great team - they are dedicated and fun,0
Ugwh5uxYyRTgH5NMBx14AaABAg,amazing,0
UgzAh9EIOv6i9vy5XDh4AaABAg,"I&#39;d have liked to have heard an explanation of the difference betweed AI and machine learning (at least of my understanding of those terms). Have fundamental &#39;rules&#39; for protein folding been discovered or is the advance (not to diminish it) the speed at which existing structural data can be applied to novel problems? I suspect it&#39;s the latter and, great though that is, it would be terrible if it led to any loss of funding to structural biology. Keep the beams on for now.",0
UgzTjxtolj0o2l9cUFp4AaABAg,so where are the new drugs or disease predictions?,0
UgwbvJZFsbL5nebvLtZ4AaABAg,I think the next big leap should be &quot;Why&quot; do proteins fold in the ways they do?,0
UgwQ6If65sWvlcreBvF4AaABAg,"Boss: &quot;We need to double down and go as fast as possible from here&quot;<br>Asian guy: &quot;Fine, I&#39;ll just run everywhere&quot;",1
UgwxfYSMU8Tv8uNz_-J4AaABAg,"Just want to point out, the home office at the beginning is amazing. It looks so cozy. THIS is why people want to WFH. DOWN WITH FLUORESCENT BULBS AND CUBICLE WALLS.",0
UgzBDODUd4D5UkfKAy14AaABAg,"Id like to be in your team thinking, studying creating and proposing new posibilities ! <br>Thats part of my dream... helping to develop something that can change human life for better :&#39;)<br>I`m a student of chemical engineering in Guatemala",0
