CommentID,Comment,LikeCount
Ugx0iRhs1IrfdQWPiq14AaABAg,BIG EPISODE,237
Ugyb7Cn2CSfk_xSsKbN4AaABAg,So Sam actually said referring to UBI &quot;If you could just give people money they would make good decisions.&quot;  This has to be one of the dumbest things I&#39;ve ever heard in my life.  Or as Sam would say &quot;its super dumb.&quot;  SMH,0
UgybfYN9Bfh2RuLTRL14AaABAg,Sam is a car salesman at best,0
Ugz3wnt1CekRPxwCLvx4AaABAg,This dude never tells the full truth. Or any,0
UgwNHpcPEr66cOPpMrp4AaABAg,"<a href=""https://www.youtube.com/watch?v=nSM0xd8xHUM&amp;t=4435"">1:13:55</a> my respect for Sacks has gone up significantly",0
UgyzmuB38-HZa8nfRot4AaABAg,Xantham gum 😂😂😂,0
Ugyr0QGArvNOn8j0nzZ4AaABAg,It’s so dangerous that Sam talks like a politician. I Do Not trust him.,1
Ugyu6LMasI_oIZU9KU94AaABAg,"J-Cal is a hopelessly ignorant liberal, but have to admit he&#39;s a good moderator.",0
UgxdPP0ajSCAKcrB7o54AaABAg,"its neural link, bros",0
Ugxj8yk6dEoDFA0XcJV4AaABAg,Gives off weird untrustworthy vibes.,0
UgxOcn0Nh4zgcDiRq5Z4AaABAg,"Awesome chat, very open",0
Ugxq9OZH6aMPWfyvizF4AaABAg,"Is he a politician? I am very skeptical of openai because of the people and lying behind it. The universal income thing is one of the dumber things I have ever heard that is just trying to win over lazy, stupid people.",0
Ugzfx_W0Ss57rpe_aGR4AaABAg,Really missed the &quot;Where&#39;s Ilya Sam?&quot;,1
UgyWx3prUf_YUjM78cV4AaABAg,Sam is not to be trusted,1
UgwMDhTtAclb6_svkol4AaABAg,Altman feigns uncertainty when he really wants to say “no comment.”,0
UgwC9--ElrH3eJNyx5Z4AaABAg,Apple idea - why don’t they bring a CarPlay-esque experience to airlines and their IFE units? Those products suck and could do with a user friendly experience that can connect to ones’ phone.,0
Ugzjt575O1FSJBaUBRh4AaABAg,"He is not a scientist, obviously.",0
Ugx75RDtaeaErea0YNZ4AaABAg,allocate half of every show to Friedberg!,0
UgzN2J84EavsoNaoa0p4AaABAg,"sam was 2 steps ahead of these guys.  most important question was what he thinks of musk.  i still think he spoke very strategically and intelligently  about AI than these 4.  not surprised to see jason flip flop on the college student protests. he criticized them when sheryl criticized them and now supports them after sax supported them. of these 4, i would not have expected sax to support them. probably freeburg but he was silent. missed sax last episode",0
UgzJnUAUMsZ0DL9nndB4AaABAg,"go MKBHD on him, boys. Pronto. Save us all the grief.",0
UgwPm0gHXlbDA43Om6V4AaABAg,A great AI will provide a perfect answer; a superior AI will ask a perfect question,0
