CommentID,Comment,LikeCount
UgzUx60z1B0PgWsDNH54AaABAg,I watch this vid two years ago n now watching it again today,0
UgzGizf7Ha1Pol6KTSB4AaABAg,DATA FROM AS WILL NEVER BE  IN ANY WAY A  COMPLETION OF  ANY A.I.,0
UgwATKG6-HNg5t_Okmh4AaABAg,"Just came from your other video, this is great stuff, thank you!!!",0
UgwxYmPMtXB7krr3dil4AaABAg,"basic research should be funded by governments not private monopolies. increase funding, break up monopolies",0
UgxZBqMkucl3GLii29B4AaABAg,"Alpha-Go was China&#39;s Sputnik moment, now China is all in on AI...",1
UgxvPUm5jZ9BWmjMZ_t4AaABAg,This video really is a pleasure to watch. Why has it still earned just 450 views? Guess you need my instant sub!,2
Ugy2w8BAmp8qFt5HFEt4AaABAg,"So much of cutting-edge research is taking place outside of academic institutions. Paul tweeted something similar recently citing data that said, Academicians (research based) spend only about 20% of their time doing actual research. Deepmind and Verily are more likely to deliver breakthroughs.",1
UgwPT9cCuR6k5K5guZJ4AaABAg,"I predict your subscriber count to go up substantially in no time. I&#39;m lucky to have stumbled upon your video, geat value and great quality. I&#39;m here to stay, keep it up ;)",2
UgwlBYlxmINN6yNU_IN4AaABAg,"This is such a great, comprehensive look at Alpha projects and how they fit with other projects. Thanks!",3
UgzvvKbhcgLTND5wEuN4AaABAg,Nice new background + great explanation!,4
