CommentID,Comment,LikeCount
UgxV0YRFLgaQBNqgDGJ4AaABAg,Mindblown,0
UgyW-qMymX8oA_Cy1bJ4AaABAg,Can AlphaFold turn me into a real-life vampire.,0
UgwA1Rfue1bPLZ_ubfZ4AaABAg,big talk little action,0
UgwLIIoC-D_NPqCc-iJ4AaABAg,Go CU!,0
Ugx_EQ2R3wbs3QUplw54AaABAg,Researchers and Scientists working together and the power of AI to make the world a better place. I could only imagine what the future of AI advancements could offer humanity as time goes by.,1
UgyNsKVPZu-E6L7Rfd14AaABAg,This is excellent news. Your description of a complex problem is clear and simple. Thank you very much publisher.,1
UgzCplY7gu-UTfl2s694AaABAg,"Demis Hasabis and his group at Deepmind are a gift to mankind, as are you, Marcelo and Megan. Thank you!!!",0
UgwSaMj9_ebc_PfmLJN4AaABAg,It seems like we are very near to become Lucy 😂 with the help of AI👍,0
UgwNmqSSW731KtzLkeh4AaABAg,This is far too dangerous 😳 🤣.  All that need to happen for the end of the human race to occur is AI to become sentient while working on this issue and to also want to end the human race. BOOM the end.,0
UgxWfQXpv5PkVgCqRN54AaABAg,"Wow, antibiotic resistance is a thing that I truly am afraid of, but this breakthrough really put an ease in my mind",2
UgyC_tfzgCd0-GbPqmt4AaABAg,"I don&#39;t have much background, but, this is worthy.",0
UgzuMgKNo5bJZ-ETnrN4AaABAg,"Your AI can&#39;t Identify my written text, Is that printed or write its my challenge",0
UgzneUTWXX5gRcUQ2hl4AaABAg,well it took actually several decades to develop the AI tech that helped solve this problem in minutes...everything build on eachother,1
UgxHy3hy0b4E7VaXg394AaABAg,Are these people genius?,0
Ugw2soqSgfXQ6V3PVCF4AaABAg,175.200 times faster - not bad.,1
Ugxc3eSynfWtX7CMvst4AaABAg,If cancer tumors are high in Iron are enzymes and or proteins able to be tailor made to suit?,0
Ugza_QAlo79s_68biBl4AaABAg,And this is only possible because of Google!,0
UgwbDte9hhfso7XT09J4AaABAg,Or use phages,1
Ugzz36B0nLEDAbsMsRB4AaABAg,Woow amazing thank you @demis Hassabis,0
UgwL-af0SkrLkjZdAsl4AaABAg,"What software is that at <a href=""https://www.youtube.com/watch?v=uLDud7pNiNQ&amp;t=76"">1:16</a>",0
Ugx4uajroTnknywjyNB4AaABAg,"The folded protein revolution, the fusion power revolution, The human race will not experience just one revolution, but several over the course of the next 5 to 20 years. Did you know that the corona virus vaccine was created so fast only because deepmind accurately predicted the shape within an atom thick? A.I. is solving problems that required huge amounts of data sets to be analyzed within seconds instead of decades. That promise in the 90&#39;s scientist made about the human genome project curing most diseases, will soon be a reality thanks to A.I. This will forever change almost every aspect of our daily lives. My wildest imaginations of the future will become a subtle prediction..",0
Ugz5MjJFudgtxP7DqWh4AaABAg,Cannot believe it is really happening. I think all the biology/medical science students should start learning how to use the new AI tools to accelerate their career in the future.,8
UgwuYjGxQAEnTlUN0wR4AaABAg,"AlphaFold is more incredible than most will realise.  Can see Nobel prizes coming out of this, shortly.  That Alphabet has anything to do with DeepMind is unfortunate, but maybe we can suffer it this once. 🤣",4
UgwCJmUSvbsdq2P0C6F4AaABAg,I really ❤️ that thinking cap !,0
UgyGeyIW4SlIm_vWHAN4AaABAg,Open source is a true gift to humanity. Please use this research to address pediatric cancer,13
UgxtA5J_s7-SNiSdTqx4AaABAg,AlphaFold for the whole world is the medical equivalent of giving free fusion power to the whole world.<br><br>This (along with CRSPR) will lead to personal genomic medicine.,1
UgxoQ_DsV-l7Ov7q-aN4AaABAg,"Purely Remarkable <a href=""UCkszU2WH9gy1mb0dV-11UJg/dv90XtfhAurw8gTgzar4DA""></a>",0
Ugw4xBaPVtl6M7bgOHR4AaABAg,LIMITLESS 💊,4
UgwH5FqCksZJbyPVmXd4AaABAg,This work is very very important. Algorithm’s that teach themselves all kind of protein shapes like in AlphaFold are the future. So thankfull to be alive right at this very moment! Thanks for your  historical work!,15
UgzSSpB0h9aXNmxquYV4AaABAg,WOW ...,2
Ugzu6uKlfwX_Mvnw8354AaABAg,"I love that the predictions from Alpha Fold helps find the structure from measurement, and each new structure can be used to further finetune Alpha Fold. Positive Feedback loop.",42
UgzYOriVeY7gyF8q6BV4AaABAg,Thank you for being what humans should be,16
UgwUBpntdvx36Brw60B4AaABAg,"Deepmind did the right thing here - offering a database to the scientific community of their protein folding predictions. Over the next decade, there&#39;s going to be drips of biomedical innovation that followed from that move. That&#39;s a decision worth saluting.",167
Ugw4xciyAwOrDejLRd94AaABAg,This is encouraging news. Thanks for posting the development of this exciting news &amp; the group that worked on antibiotic resistance. v,7
UgxKw3yS_MlNIeRaBFp4AaABAg,Farm poultry’s protein is next.,1
Ugzuuek9b6d03nrdLxR4AaABAg,do we really need more people on this earth tho,1
Ugz2oNNqroN9W5G3Lz14AaABAg,Giga based,0
UgxWww4rwRL-3uDVrUx4AaABAg,just amazing,0
Ugykt2AHUGrsyS5r1aJ4AaABAg,👍 keep up the good work.,5
UgwW-iM5xe9XSJJqjaR4AaABAg,United Nations should establish control over this and stop this research.,1
UgxKcHnux-q2KKa9BAp4AaABAg,"wow , deepmind and open ai keep surprising me with the new innovations.",10
