CommentID,Comment,LikeCount
UgyA6G6zdZBnKxU35g54AaABAg,"NordVPN special deal: Just go to <a href=""https://nordvpn.com/sabine"">https://nordvpn.com/sabine</a> and use our coupon code sabine at checkout.",117
UgzGaetut5bKzGt89mp4AaABAg,"Yes <a href=""http://www.youtube.com/results?search_query=%23evolution"">#evolution</a> did it 😂",0
Ugyq3PBZQ4cpwitvFKh4AaABAg,Glad you are making biological concepts clear. I watched quite a few physics videos you produced and always wished you would take your presentation skills to biology.,0
UgwWPybEfWLitdC1GUJ4AaABAg,"The smallest protein known is a 20 amino acid protein called Trp-cage in the saliva of Gila Monsters. The smallest human protein is 44 amino acids but it could be an abortive translation from the 5&#39; UTR of another mRNA. The largest known protein is the human muscle binding protein Titan, which has btween 25,000 and 35,000 amino acids depending u8pon the reading frame for the sequence.<br><br>There are no proteins known which as so small that they are comprised of only 10 amino acids. A typical protein is 300 - 3,000 amino acids long, while thousands of proteins are many hundreds to thousands of amino acids long, and some are tens of thousands of amino acids long. For such a protein to form naturally into a functional form can be calculated. There are 20 amino acids that make up all protiens. Therefore the odds to form a protein comprised of only 10 amino acids (no protein this small is known) by undirected molecular interactions that is functional is 20x 20 x 20 x 20 x 20 x 20 x 20 x 20 x 20 x 20 = <a href=""https://www.youtube.com/watch?v=yhJWAdZl-Ck&amp;t=70"">1:10</a>,240,800,000,000. (240 trillion 800 billion).",0
Ugz6Zhph6wUdoZfGhbx4AaABAg,Anyone else find her oddly beautifull.,0
UgzoexIb43rRZ1On28J4AaABAg,"one is the protein.<br><br>A.I, is the product of a short length protein.<br><br>helping the problem <br>( which is A.I)<br>not the protein itself,<br>(which is split in 3, from being X.1)",0
UgwJnBJfJMni19KYDJx4AaABAg,"Not until energetic, genetic and molecular ideologies merge into one comprehensive understanding of how an organism as complex as a human being can be deliberately designed constructed and made autonomous!<br>Then we will have solved the problem of protein folding. <br>But we still will have not solved the mystery of who was it&#39;s original creator...until we find God.",0
UgwpJGdy7Ueyqss0VW54AaABAg,HEY! REACHERS! LEAVE THAT GENOME ALONE.,0
UgwmI0U9srKTz8v0xEV4AaABAg,"Predicting a folding configuration should start with its assembly method - amino acid-by-amino acid - and predict the folding as the chain incrementally lengthens.<br>That would <b>greatly</b> reduce the number of possible configurations, the lowest energy state chosen at each point of the assembly rather than the whole chain at once.",0
UgxGGYGEdHYmw1exkGp4AaABAg,Nice 👏 👏 👏,0
UgyiqQ2hjEcZcrPMINN4AaABAg,thanks for the information 👍,0
UgwkgcjvVZVdgI_H99d4AaABAg,"Sabine, the answer is no it has not been solved, not by any stretch. AlphaFold&#39;s as exciting as it is, it is based on known examples, and we have <a href=""http://thousands.so/"">thousands.So</a>, there is no de novo prediction yet.",0
UgwlDx9AbmAPWgBkQA54AaABAg,This lady is wonderful. She is keeping up with relevant science. I love her intelligence and her digestible explanations!🫠,0
Ugz9LEDtnMesy1Ik52t4AaABAg,"Actually Google is harassing me and claiming it is my  NordVpN that is spying on google  by accessing sites too often. The harassment means that I have to answer  several of  those silly pictures showing busses, bikes, etc  in addition the images  are unsharp so  it is difficult to see how many items there are.  Anyway I really like NordVpN , very usefull, f...k google",0
Ugx5PS3wlGXYKsVGAqR4AaABAg,I fold so many proteins every day that I can&#39;t even count them all.,0
UgwdAJtLPAFe_6lwByJ4AaABAg,Prion diseases and rabies are the only two things im afraid of<br><br><br><br>Well besides being afraid of everything else as well,1
Ugy6tofwoYkNxKWy-lN4AaABAg,I’m a member of folding@home,0
UgxpUdxdVvEBku8Ycv14AaABAg,It should have been solved by crypto currency.,0
UgxPZajEOu2mdbkkSmR4AaABAg,"<a href=""https://www.youtube.com/watch?v=yhJWAdZl-Ck&amp;t=55"">0:55</a> for a fraction of a second I tought she would say the Protein is SuperImposed. uashuahsuhaushuah guess I&#39;ll let go of quantum mechanics videos for a while...<br><br>If the double pendulum is &quot;hard&quot; to predict, protein folding must be a milion times harder.<br>Thanks Sabine and the crew for always making such good videos.",0
Ugy_IoQbUwIojo3PHhh4AaABAg,"Good summary, but why omit Lvinthal&#39;s paradox and it&#39;s implications.",0
UgzkqGb7NUY1w4C5khh4AaABAg,"Many factors affect the folding process.  For one thing it is a temporal process with secondary structures folding as the aa chain grows.  The local pH and ionic strength, even the temperature and changing dielectric micro-enviroment comes in to play.  And who says the most stable structure is the most biologically relevant?  If so Wetlaufer&#39;s reagent would have been more successful. The AA sequence is only a starting point.",0
UgxmPmALC_NpMR7oL1R4AaABAg,"But… how did such stable and complex folding originate in the first place. It could hardly be random, with probabilities of the power of 300 the universe hardly seems old enough or am I failing to understand the whole concept?",0
UgzAGpXaMqmyjtBXM7p4AaABAg,"Since this video was made, we&#39;ve made even more advances, and more are imminent. Good lord.",0
UgynH2QB-9M9ygGBlBB4AaABAg,Frau Doktor PhD in EveryThing- &amp; Teleprompterlogy rides again.,0
