CommentID,Comment,LikeCount
UgzqsGe-gw8Niye9vp94AaABAg,See  Jim Tour.,0
UgxrEuLMsqq3z7mGscJ4AaABAg,"ATP synthase  is powered by H  ions, not acids and it resides in particular in the mitochondria, not the cell at large. Do I have this wrong?",0
UgwJwIYWwtaai8hafx54AaABAg,"I wonder with bacteria, cold you denature the protein that controls motion, making it dead in the water and  die off eventually from starvation 🤔",0
UgzxvHcpqzNXNxfK4CJ4AaABAg,How is secular evolution still a thing?,1
Ugw5c-OYdxpzd_Ej-3B4AaABAg,"A question I have, has this knowledge  been used by the many unethical scientists in creating the dreadful bio engineered  Covid 19 pandemic virus?",0
Ugys8eTl4Po_US9qFEd4AaABAg,Has he kept up with the work of Dr. Michael Levin?<br> I wonder if big-world biology-based machines will become sentient. Will develop feelings? Will feel pain and loss?,0
Ugx0k_nhNMY8HkfXsXF4AaABAg,Another conundrum is chirality - only left handed amino-acids are used to make these machines.  Any right handed ones in the mix would gum up the works and in nature you get mixtures of both left and right handed ones.,0
UgyocRJKdrQw-VX92o94AaABAg,The evolutionary path to molecular machines is unknown,0
UgzmU662Ozk2GxcVyFd4AaABAg,This is why intelligent Design will ultimately win the day :-),1
UgxuGQKvKonqjjMhNZ14AaABAg,Not anymore it ain&#39;t.,1
UgwBj6tutCh-Iv5567h4AaABAg,A gene before post transcription modification specifies nothing useful.<br>A gene does not specify what a protein does.  It merely specifies amino acid order.<br>There is no back-coding from functioning protein to code.<br><br>Anyone but me find this strange?,1
UgxTeQfOFUeuXBARmdt4AaABAg,And yet Atheists say there is no evidence for God!!,3
Ugw5TLluwgsTPE2SYhJ4AaABAg,"I like this talk,  Ken made the stuff easy to understand. Youtube needs more talks like this.",1
Ugy0DnISzdeS0rDdqBl4AaABAg,"Conventional evolution fabricated over 20,000 interlocked and orchestrated machines, each having at best a 1 in 10^164 chance of forming? Combinatational chance cannot be the agent. This is the supreme conundrum.",0
UgwW6yOvU8SMPxdQwbx4AaABAg,“3 Billion years” = ”Machines”…,0
UgxGmN1S2DAJJfundL54AaABAg,Awsome,0
UgxFGJ5GgJcjAETasc54AaABAg,Solved problem with alpha fold.,1
Ugxx9DJf6NBLcmMDQiV4AaABAg,"It&#39;s a fascinating concept but we don&#39;t understand it. Kind of like nuclear fusion in the sun, we can see it, we know it works but can&#39;t duplicate it..yet. The citric cycle along with the electron transport chain used in cellular energy is kind of the same thing.",0
UgwaRttR7-4elybYj1p4AaABAg,In the beginning God created the Heavens and the Earth,2
UgwxR_K6AFmdYxxEY0x4AaABAg,These molecular machines must use frequencies,0
UgwqwUEq0BbpG10gxTx4AaABAg,Steven C. Meyer speaks of the probability of dna evolving from one kind of animal into another kind of animal which is 10 to the 77 power. This # is astronomically not probable.,1
UgwjD9_J0ig4_a-UW7J4AaABAg,How can anyone look at these incredible things and still think they evolved?,1
